name,commonName,Family,brightness,temperature,solHumidity,watering,suggestedSoilMix,description
Aeschynanthus marmoratus,Zebra Basket Vine,Gesneriaceae,3.0,3.0,3.0,1.0,7.0,
Aeschynanthus pulcher,Lipstick Vine,Gesneriaceae,3.0,3.0,3.0,1.0,7.0,
Agave Americana ‘Marginata’,"Variegated Century Plant,Century plant, maguey, American aloe",Asparagaceae,1.0,3.0,5.0,3.0,5.0,
Agave victoriae-reginae,Queen Agave,Asparagaceae,1.0,3.0,3.0,2.0,5.0,
Aglaonema modestum,Chinese Evergreen,Araceae,6.0,3.0,3.0,2.0,2.0,
Aglaonema ‘Silver King’,Silver King,Araceae,6.0,3.0,3.0,2.0,2.0,
Aglaonema ‘Silver Queen’,Silver Queen,Araceae,6.0,3.0,3.0,2.0,2.0,
Allamanda cathartica,Allamanda,Apocynaceae,1.0,3.0,2.0,2.0,1.0,
Alloplectus nummularia,Miniature Pouch Flower,Gesneriaceae,4.0,3.0,2.0,1.0,7.0,
Aloe aborescens,Candelabra Plant,Asphodelaceae,1.0,5.0,5.0,3.0,5.0,
Aloe barbadensis,Medicine Plant,Asphodelaceae,1.0,5.0,5.0,3.0,5.0,
Aloe brevifolia,Brevifolia Aloe,Asphodelaceae,1.0,5.0,5.0,3.0,5.0,
Ananas comosus,Pineapple,Bromeliaceae,2.0,3.0,3.0,1.0,3.0,
Anthurium clarinervium,Dwarf Crystal Anthurium,Araceae,4.0,3.0,2.0,1.0,2.0,
Anthurium hookeri,Bird’s Nest Anthurium,Araceae,4.0,3.0,2.0,1.0,2.0,
Anthurium scherzeranum,Flamingo Flower,Araceae,4.0,3.0,2.0,1.0,6.0,
Aphelandra squarrosa,Zebra Plant,Acanthaceae,3.0,3.0,3.0,1.0,2.0,
Araliaceae,Caladium,,3.0,3.0,1.0,1.0,2.0,
Araucaria heterophylla,Norfolk Island Pine,Araucariaceae,4.0,3.0,3.0,1.0,2.0,
Ardissa crenata,Ardisia,Primulaceae,4.0,3.0,3.0,1.0,2.0,
Asokebuyn budys,Bird’s Nest Fern,Aspleniaceae,6.0,3.0,3.0,1.0,6.0,
Asparagus densiflorus ‘Myers’,Plume Asparagus,Asparagaceae,4.0,3.0,3.0,2.0,2.0,
Asparagus densiflorus ‘Sprengeri’,Foxtail Fern,Asparagaceae,4.0,3.0,3.0,2.0,2.0,
Asparagus falcatus,Sickle Thorn,Asparagaceae,4.0,3.0,3.0,2.0,2.0,
Asparagus plumosus,"common asparagus fern, asparagus grass, lace fern, climbing asparagus, or ferny asparagus",Asparagaceae,4.0,3.0,3.0,2.0,2.0,
Aspidistra elatior,Cast Iron Plant,Asparagaceae,6.0,3.0,5.0,2.0,2.0,
Asplenium daucifolium,Mother Fern,Aspleniaceae,6.0,3.0,3.0,1.0,6.0,
Astrophytum myriostigma,Bishop’s Cap,CACTACEAE,3.0,3.0,5.0,3.0,5.0,
Astrophytum ornatum,the bishop's cap or monk's hood cactus,CACTACEAE,3.0,3.0,5.0,3.0,5.0,
Beaucarnea recurvata,Ponytail,Asparagaceae,1.0,3.0,5.0,3.0,5.0,
Begonia cubensis,Cuban Holly,Begoniaceae,4.0,3.0,3.0,2.0,2.0,
Begonia haageana,,Begoniaceae,4.0,3.0,3.0,2.0,2.0,
Begonia metallica,Metallic Leaf Begonia,Begoniaceae,4.0,3.0,3.0,2.0,2.0,
Begonia President,,Begoniaceae,4.0,3.0,3.0,2.0,2.0,
Begonia semperflorens,Wax Begonia,Begoniaceae,2.0,1.0,3.0,2.0,1.0,
Begonia x rex-cultorum,Rex Begonia,Begoniaceae,4.0,3.0,3.0,2.0,2.0,
Beloperone guttata,,Acanthaceae,3.0,3.0,3.0,1.0,0.0,
Billbergia nutans,Queen’s Tears,Bromeliaceae,4.0,3.0,3.0,2.0,3.0,
Billbergia pyramidalis,Urn Plant,Bromeliaceae,4.0,3.0,3.0,2.0,3.0,
Billbergia zebrina,Zebra Plant,Bromeliaceae,4.0,3.0,3.0,2.0,3.0,
Bougainvillea spp.,Bougainvillea,Nyctaginaceae,1.0,3.0,5.0,3.0,1.0,
Brassaia actinophylla,Schefflera,Araliaceae,4.0,3.0,3.0,2.0,2.0,
Brassaia arboricola,Dwarf Schefflera,Araliaceae,4.0,3.0,3.0,2.0,2.0,
Calathea insignis,Rattlesnake Plant,Marantaceae,4.0,3.0,3.0,1.0,2.0,
Calathea makoyana,Peacock Plant,Marantaceae,4.0,3.0,3.0,1.0,2.0,
Calathea micans,Miniature Maranta,Marantaceae,4.0,3.0,3.0,1.0,2.0,
Calathea roseopicta,Rose Calathea,Marantaceae,4.0,3.0,3.0,1.0,2.0,
Calceolaria crenatiflora,Slipperwort,Calceolariaceae,3.0,1.0,1.0,1.0,1.0,
Callisia elegans,Striped Inch Plant,Commelinaceae,4.0,3.0,3.0,2.0,2.0,
Carissa grandiflora ‘Bonsai’,Bonsai Natal Plum,Apocynaceae,2.0,4.0,3.0,2.0,1.0,
Carissa grandiflora ‘Boxwood Beauty’,Boxwood Beauty,Apocynaceae,2.0,4.0,3.0,2.0,1.0,
Caryota mitis,Fishtail Palm,Arecaceae,4.0,3.0,3.0,2.0,2.0,
Catharanthus roseus,Madagascar Periwinkle,Apocynaceae,2.0,3.0,2.0,2.0,1.0,
Cereus peruvianus,Peruvian Apple Cactus,Cactaceae,1.0,4.0,5.0,3.0,5.0,
Ceropegia woodii,Rosary Vine,Apocynaceae,4.0,3.0,3.0,2.0,5.0,
Chamaedorea elegans,Parlor Palm,Arecaceae,,3.0,3.0,2.0,2.0,
Chamaedorea erumpens,Bamboo Palm,Arecaceae,,3.0,3.0,2.0,2.0,
Chamaerops humilis,European Fan Palm,Arecaceae,4.0,3.0,3.0,2.0,2.0,
Chirita lavandulacea,Hindustan Gentian,Gesneriaceae,4.0,3.0,2.0,1.0,7.0,
Chlorophytum comosum ‘Variegatum’,Variegated Spider Plant,Liliaceae,4.0,3.0,3.0,1.0,2.0,
Chlorophytum comosum ‘Vittatum’,Spider Plant,Liliaceae,4.0,3.0,3.0,1.0,2.0,
Chrysalidocarpus lutescens,Areca Palm,,4.0,3.0,3.0,1.0,2.0,
Chrysanthemum morifolium,Chrysanthemum,,1.0,3.0,3.0,1.0,1.0,
Cissus antarctica,Kangaroo Vine,,4.0,3.0,3.0,2.0,2.0,
Cissus rhombifolia,Grape Leaf Ivy,,4.0,3.0,3.0,2.0,2.0,
Cissus rotundifolia,Wax Cissus,,3.0,3.0,5.0,3.0,2.0,
Cissus striata,Miniature Grape Ivy,,4.0,3.0,3.0,2.0,2.0,
Citrofortunella mitis,Calamondin Orange,,2.0,1.0,3.0,2.0,1.0,
Clerodendrum thomsoniae,,,4.0,1.0,3.0,1.0,0.0,
Clivia miniata ‘Grandiflora’,Kafir Lily,,3.0,3.0,3.0,2.0,1.0,
Codiaeum variegatum,Croton,,1.0,3.0,1.0,1.0,2.0,
Coffeaa arabica,Coffee,,3.0,3.0,3.0,2.0,1.0,
Coleus blumeri,Coleus,,4.0,3.0,3.0,2.0,1.0,
Coleus hybrid,,,4.0,3.0,3.0,2.0,1.0,
Colummea hybrids,Goldfish Plant,,4.0,3.0,2.0,1.0,7.0,
Cordyline australis,,,3.0,,3.0,2.0,2.0,
Cordyline terminalis,Ti Plant,,3.0,2.0,3.0,2.0,2.0,
Crassula argentea,Jade Plant,,4.0,3.0,3.0,2.0,2.0,
Crassula falcata,Propeller Plant,,2.0,3.0,3.0,3.0,5.0,
Crassula hemisphaerica,Arab’s Turban,,2.0,3.0,3.0,3.0,5.0,
Crassula lycopodioides,Toy Cypress,,2.0,3.0,3.0,2.0,5.0,
Crassula schmidtii,Red Flowering Crassula,,4.0,3.0,3.0,2.0,5.0,
Crassula teres,Rattlesnake Tail,,4.0,3.0,5.0,3.0,5.0,
Crossandra infundibuliformis,Crossandra,,3.0,3.0,3.0,1.0,1.0,
Cryptanthus bivittatus ‘Minor’,Dwarf Rose Stripe Star,,3.0,3.0,3.0,2.0,3.0,
Cryptanthus fosteranus,Stiff Pheasant Leaf,,3.0,3.0,3.0,2.0,3.0,
Cryptanthus zonatus,Zebra Plant,,3.0,3.0,3.0,2.0,3.0,
cyperus alternifolius,,,4.0,3.0,3.0,2.0,0.0,
Cyrtomium falcatum ‘Rochfordianum’,House Holly Fern,,4.0,3.0,3.0,2.0,6.0,
Davallia fejeensis,Rabbit’s Foot Fern,,4.0,3.0,1.0,1.0,3.0,
dieffenbachia amoena,,,4.0,3.0,3.0,2.0,2.0,
Dieffenbachia maculata,Spotted Dumb Cane,,6.0,3.0,3.0,2.0,2.0,
Dieffenbachia ‘Exotica Perfection’,Exotica Perfection,,4.0,3.0,3.0,2.0,2.0,
Dizygotheca elegantissima,False Aralia,,4.0,3.0,3.0,2.0,2.0,
Dracaena deremensis ‘Janet Craig’,Janet Craig,,5.0,3.0,3.0,2.0,2.0,
Dracaena deremensis ‘Warneckii’,Warneckii,,5.0,3.0,3.0,2.0,2.0,
Dracaena fragrans ‘Massangeana’,Corn Plant,Drasina,4.0,3.0,3.0,2.0,2.0,
Dracaena marginata,Marginata,,5.0,3.0,3.0,2.0,2.0,
Dracaena surculosa,Gold Dust Dracaena,,5.0,3.0,3.0,2.0,2.0,
Dyckia brevifolia,Miniature Agave,,2.0,3.0,5.0,,2.0,
Dyckia fosterana,Silver and Gold Dyckia,,2.0,3.0,5.0,,3.0,
Echeveria agavoides,Molded Wax,,2.0,3.0,5.0,3.0,5.0,
Echeveria elegans,Mexican Snowball,,2.0,3.0,5.0,3.0,5.0,
Echinocereus reichenbachii,Lace Cactus,,2.0,3.0,5.0,3.0,5.0,
Epidendrum atropurpureum,Spice Orchid,,3.0,3.0,2.0,1.0,4.0,
Epiphyllum hybrids,Orchid Cacti,,3.0,3.0,3.0,2.0,1.0,
Epipremnum aureum,Golden Pothos,,5.0,3.0,3.0,2.0,2.0,
Epipremnum aureum ‘Marble Queen’,Marble Queen,,5.0,3.0,3.0,2.0,2.0,
Episcia cupreata,Flame Violet,,3.0,4.0,1.0,1.0,7.0,
Episcia dianthiflora,Lace-Flower Vine,,3.0,4.0,1.0,1.0,7.0,
Episcia reptans,Scarlet Violet,,3.0,4.0,1.0,1.0,7.0,
Euphorbia coeralescens,Blue Euphorbia,,4.0,3.0,4.0,,5.0,
Euphorbia mammillaris,Corncob Cactus,,1.0,3.0,4.0,3.0,5.0,
Euphorbia milii splendens,Crown-of-Thorns,,1.0,3.0,4.0,3.0,5.0,
Euphorbia pulcherrima,Poinsettia,,2.0,3.0,3.0,2.0,1.0,
Euphorbia tirucalli,Milkbush,,2.0,3.0,3.0,2.0,1.0,
Fatshedera lizei,Botanical Wonder Plant,,4.0,2.0,3.0,2.0,2.0,
Fatsia japonica,Japanese Aralia,,,2.0,3.0,2.0,2.0,
Ficus benjamina,Weeping Fig,,,3.0,3.0,2.0,2.0,
Ficus deltoidea,Mistletoe Ficus,,4.0,3.0,3.0,2.0,2.0,
Ficus elastica ‘Decora’,Rubber Plant,,,4.0,3.0,,2.0,
Ficus lyrata,Fiddle-Leaf Fig,,,3.0,3.0,,2.0,
Ficus pumila ‘Minima’,Dwarf Creeping Fig,,4.0,3.0,3.0,2.0,2.0,
Ficus retusa,Cuban Laurel,,4.0,3.0,3.0,2.0,2.0,
Ficus sagittata,Rooting Fig,,4.0,3.0,3.0,2.0,2.0,
Ficus willdemaniana,Dwarf Fiddle-Leaf Fig,,4.0,3.0,3.0,2.0,2.0,
Fittonia verschaffeltii,Red-Nerved Fittonia,,4.0,3.0,1.0,1.0,2.0,
Fittonia verschaffeltii argyroneura,Silver-Nerved Fittonia,,4.0,3.0,1.0,1.0,2.0,
Fuchsia hybrida,Fuchsias,,3.0,2.0,1.0,1.0,1.0,
fuchsia leonora,,,4.0,3.0,3.0,2.0,0.0,
Gasteria hybrida,Ox Tongue,,3.0,3.0,3.0,3.0,5.0,
Graptopetalum amethystinum,Jewel Leaf Plant,,4.0,3.0,4.0,3.0,5.0,
Guzmania lingulata ‘Major’,Scarlet Star,,3.0,3.0,1.0,2.0,3.0,
Guzmania monostachia,Striped Torch,,3.0,3.0,1.0,2.0,3.0,
Gynura aurantiaca ‘Purple Passion’,Purple Passion or gynura sarmentosa,,4.0,3.0,3.0,2.0,2.0,
Haworthia cuspidata,Star Window Plant,,2.0,3.0,5.0,,5.0,
Haworthia fasciata,Zebra Haworthia,,2.0,3.0,5.0,,5.0,
Haworthia subfasciata,Little Zebra Plant,,3.0,3.0,5.0,,5.0,
Haworthia truncata,Clipped Window Plant,,2.0,3.0,5.0,3.0,5.0,
Hedera canariensis,Algerian Ivy,,4.0,2.0,3.0,2.0,1.0,
Hedera helix,English Ivy,,4.0,2.0,3.0,2.0,1.0,
Hemigraphis alternata,Waffle Plant,,4.0,3.0,3.0,2.0,2.0,
Hibiscus rosa-sinensis,Chinese Hibiscus,,1.0,3.0,3.0,2.0,1.0,
Hippeastrum hybrids,Amaryllis,,3.0,3.0,3.0,2.0,1.0,
Howea belmoreana,Belmore Sentry Palm,,,3.0,3.0,2.0,2.0,
Howea forsterana,Kentia Palm,,5.0,3.0,3.0,2.0,2.0,
Hoya carnosa ‘Variegata’,Wax Plant,,4.0,3.0,4.0,2.0,2.0,
Hoya kerrii,Sweetheart Hoya,,3.0,3.0,3.0,2.0,2.0,
Hyacinthus orientalis,Hyacinth,,3.0,2.0,3.0,1.0,1.0,
Hydrangea hortensia,,,,,,0.0,0.0,
Impatiens wallerana ‘Variegata’,Busy Lizzie Impatiens,,4.0,3.0,3.0,2.0,1.0,
Ixora coccinea,Ixora,,1.0,3.0,3.0,2.0,1.0,
Jatropha integerrima,Peregrian,,1.0,3.0,3.0,2.0,1.0,
Justicia brandegeana,Shrimp Plant,,2.0,3.0,3.0,2.0,1.0,
Kalanchoe blossfeldiana,Christmas Kalanchoe,,2.0,3.0,3.0,2.0,1.0,
Kalanchoe pumila,Dwarf Purple Kalanchoe,,2.0,3.0,4.0,3.0,5.0,
Kalanchoe tomentosa,Panda Plant,,2.0,3.0,4.0,3.0,5.0,
Malvaviscus arboreus,Turk’s Cap,,1.0,3.0,3.0,1.0,1.0,
Mammillaria bocasana,Powder Puff,,2.0,3.0,5.0,3.0,5.0,
Manettia inflata,Firecracker Plant,,3.0,3.0,2.0,2.0,1.0,
Maranta bicolor,,,4.0,3.0,3.0,2.0,2.0,
Maranta leuconeura erythroneura,Red Nerve Plant,,4.0,3.0,3.0,2.0,2.0,
Maranta leuconeura kerchoviana,Prayer Plant,,4.0,3.0,3.0,2.0,2.0,
Mikania ternata,Plush Vine,,4.0,3.0,3.0,2.0,2.0,
Monstera deliciosa,Philodendron Pertusum,,5.0,3.0,3.0,2.0,2.0,
monstera deliciosa,split-leaf philodendron or swiss cheese plant,Araceae,,,,,,"Monstera deliciosa, commonly called split-leaf philodendron or swiss cheese plant, is native to Central America. It is a climbing, evergreen perennial vine that is perhaps most noted for its large perforated leaves on thick plant stems and its long cord-like aerial roots. In its native tropical habitat, it will climb somewhat impressively to 70’ into large trees, clothing the trunks with leaves in the 1-3’ long range. Indoor plants more typically are grown in the 6-8’ range. Mature leaves of this plant are very large, glossy, deep green and distinctively cut and perforated. Juvenile leaves are small and mostly uncut. Mature plants may produce arum-like flowers with a spadix to 10” surrounded by a white spathe. Flowers give way to an edible fruit that is reminiscent in taste to pineapple-banana. Indoor plants rarely flower and fruit however. Aerial roots on the lower parts of this plant can be rooted into the soil to help nourish the plant. Aerial roots on the upper parts of the plant can be attached to a moss-like climbing pole or simply removed.  Genus name possibly contracted from monstrifer meaning monster-bearing in reference to the perforated leaves.  Specific epithet means delicious for the delicious, edible fruit.  Common name is in reference to the perforated foliage. Although not a philodendron, this plant is commonly called split-leaf philodendron."
Monstera obliqua,Window Leaf,,6.0,3.0,3.0,2.0,2.0,
Monstera pertusa,,,6.0,3.0,3.0,2.0,2.0,
Nautilocalyx lynchii,Black Alloplectus,,4.0,3.0,3.0,1.0,7.0,
Neoregelia carolinae  ‘Tricolor’,Tricolor Bromeliad,,4.0,3.0,3.0,2.0,3.0,
Neoregelia spectabilis,Fingernail Plant,,4.0,3.0,3.0,2.0,3.0,
Neoregelia zonata,Zonata,,4.0,3.0,3.0,2.0,3.0,
Nephrolepis exaltata ‘Bostoniensis’,Boston Fern,,4.0,3.0,2.0,2.0,6.0,
Nephrolepis exaltata ‘Fluffy Ruffles’,Fluffy Ruffles,,4.0,3.0,1.0,2.0,6.0,
Nidularium innocentii nana,Miniature Bird’s Nest,,4.0,3.0,3.0,1.0,3.0,
Opuntia vilis,Little Tree Cactus,,2.0,3.0,5.0,3.0,5.0,
Opuntia vulgaris,Irish Mittens,,2.0,3.0,5.0,3.0,5.0,
Oxalis flava,Finger Oxalis,,2.0,3.0,3.0,2.0,1.0,
Oxalis rubra,Red Oxalis,,2.0,3.0,3.0,2.0,1.0,
Pachira aquatiac,Money tree,,,,,,,
Pachyphytum oviferum,Pearly Moonstones,,2.0,3.0,4.0,,5.0,
Pachystachys lutea,Yellow Shrimp Plant,,4.0,3.0,3.0,2.0,1.0,
Paphiopedilum hybrids,Ladyslipper Orchids,,4.0,3.0,3.0,,4.0,
Pelargoniium peltatum,Ivy Geranium,,2.0,2.0,3.0,2.0,1.0,
Pelargonium grandiflorum,,,2.0,,3.0,2.0,1.0,
Pellaea rotundifolia,Button Fern,,4.0,3.0,3.0,,6.0,
Pellionia pulchra,Satin Pellionia,,4.0,3.0,3.0,,2.0,
Pentas lanceolata,Egyptian Star Cluster,,1.0,3.0,3.0,2.0,1.0,
Peperomia caperata,Emerald Ripple,,4.0,3.0,3.0,2.0,2.0,
Peperomia crassifolia,Leather Peperomia,,4.0,3.0,3.0,2.0,2.0,
Peperomia obtusifolia,Baby Rubber Tree,,4.0,3.0,3.0,2.0,2.0,
Philodendron bipennifolium,Fiddle-Leaf Philodendron,,,3.0,3.0,2.0,2.0,
Philodendron hederaceum,"heartleaf philodendron , Philodendron scandens",,,,,0.0,0.0,
Philodendron scandens oxycardium,Heart-Leaf Philodendron,,5.0,3.0,3.0,2.0,2.0,
Philodendron selloum,Selloum,,5.0,3.0,3.0,2.0,2.0,
Philodendron ‘Emerald Queen’,Emerald Queen,,5.0,3.0,3.0,2.0,2.0,
Philodendron ‘Florida’,Florida,,5.0,3.0,3.0,2.0,2.0,
Phoenix roebelenii,Pigmy Date Palm,,4.0,3.0,3.0,2.0,2.0,
Pilea cadierei,Aluminum Plant,,4.0,3.0,2.0,1.0,2.0,
Pilea microphylla,Artillery Plant,,4.0,3.0,1.0,1.0,2.0,
Platycerium bifurcatum,Staghorn Fern,,4.0,3.0,3.0,2.0,6.0,
Plectranthus australis,Swedish Ivy,,4.0,3.0,3.0,2.0,2.0,
Plectranthus australis,Candle Plant,,4.0,3.0,3.0,2.0,2.0,
Podocarpus macrophyllus,Podocarpus,,4.0,3.0,3.0,2.0,2.0,
Polyscias balfouriana ‘Marginata’,Variegated Balfour Aralia,,4.0,3.0,3.0,2.0,2.0,
Polyscias fruticosa,Ming Aralia,,4.0,3.0,3.0,2.0,2.0,
Rhapis excelsa,Lady Palm,,4.0,3.0,3.0,2.0,2.0,
Rhododendron hybrids,Azaleas,,3.0,2.0,1.0,1.0,2.0,
Ruellia graeciznas,Red-Spray Ruellia,,2.0,3.0,3.0,2.0,1.0,
Saintpaulia hybrids,African Violets,,4.0,3.0,3.0,1.0,7.0,
Sansevieria parva,Parva Sansevieria,,4.0,3.0,5.0,,5.0,
Sansevieria trifasciata ‘Hahnii’,Birdsnest Sansevieria,,5.0,3.0,5.0,,5.0,
Sansevieria trifasciata ‘Laurentii’,Gold-Banded Sansevieria,,5.0,3.0,5.0,,5.0,
Saxifraga stolonifera,Strawberry Geranium,,4.0,2.0,3.0,2.0,2.0,
Scheflera actinophylla,,,4.0,3.0,3.0,2.0,2.0,
Schlumbergera bridgesii,Christmas Cactus,,4.0,3.0,3.0,2.0,2.0,
Schlumbergera truncata,Christmas Cactus,,4.0,3.0,3.0,2.0,2.0,
Scindapsus aureus,,,6.0,3.0,3.0,1.0,0.0,
Scindapsus pictus,Silver Pothos,,6.0,3.0,3.0,2.0,2.0,
Sedum spectabile,Showy Sedum,,2.0,2.0,4.0,,5.0,
Sempervivum arachniodeum,Cow Web Houseleek,,2.0,2.0,4.0,,5.0,
Setcreasea pallida ‘Purple Heart’,Purple Heart,,2.0,3.0,3.0,2.0,2.0,
Sinningia speciosa,Gloxinia,,4.0,3.0,2.0,2.0,7.0,
Soleirolia soleirolii,Baby Tears,,4.0,3.0,2.0,1.0,2.0,
Spathiphyllum ‘Clevelandii’,Peace Lily,,4.0,3.0,3.0,1.0,2.0,
Spathiphyllum ‘Mauna Loa’,Mauna Loa,,4.0,3.0,3.0,1.0,2.0,
Stapelia nobilis,Carrion Flower,,2.0,3.0,4.0,,5.0,
Stephanotis floribunda,,,3.0,3.0,3.0,2.0,0.0,
Streptocarpus x hybridus,Cape Primrose,,4.0,3.0,3.0,2.0,7.0,
Strobilanthes dyeranum,Persian Shield,,4.0,3.0,3.0,2.0,2.0,
Syngonium podophyllum,Nephthytis,,5.0,3.0,3.0,2.0,2.0,
Tillandsia lindenii,Blue-Flowered Torch,,3.0,3.0,3.0,2.0,3.0,
Tolmiea menziesii,Piggyback Plant,,3.0,2.0,3.0,2.0,2.0,
Tradescantia blossfeldiana,Flowering Inch Plant,,4.0,3.0,3.0,2.0,2.0,
Tradescantia sillamontana,White Velvet,,4.0,3.0,3.0,2.0,2.0,
Trillandsia bulbosa,Dancing Bulb,,3.0,3.0,3.0,2.0,3.0,
Vriesea splendens,Flaming Sword,,3.0,3.0,3.0,2.0,3.0,
Yucca elephantipes,Spineless Yucca,,3.0,3.0,5.0,2.0,2.0,
Zebrina pendula,Wandering Jew,,4.0,3.0,3.0,2.0,2.0,
Zygocactus truncatus,,,4.0,3.0,3.0,2.0,2.0,
