Name,Desc,PlantType,BloomsIn,Height,SoilNeeds,SunNeeds,WaterNeeds,Maintenance,Type de Sol
Lys de la paix (Spathiphyllum wallisii),"Le Lys de la paix est une plante d’intérieur populaire qui préfère la mi-ombre ou l’ombre, car une exposition directe au soleil peut brûler ses feuilles. Il nécessite un sol humide mais bien drainé et un arrosage fréquent, surtout en été. Son entretien est facile : il suffit de retirer les feuilles jaunies et les fleurs fanées, et de brumiser les feuilles pour maintenir une bonne humidité. C’est aussi une excellente plante dépolluante.",Perennials,"Spring,Summer","50 cm, 150 cm",pH between 5.5 to 6.5,"Partial sun, Shade",High,Low,"Argile, Limon, Sable"
Laurier Rose (Nerium oleander),"Le Laurier rose est un arbuste méditerranéen très apprécié pour sa floraison abondante et prolongée. Il prospère en plein soleil et s’adapte à divers types de sols bien drainés. Il nécessite un arrosage régulier mais modéré, avec une tolérance à la sécheresse une fois bien établi. Son entretien est simple : une taille légère après la floraison permet de favoriser une croissance harmonieuse et d’intensifier la floraison suivante. Résistant aux maladies et aux conditions difficiles, il est cependant toxique en cas d’ingestion, ce qui impose une précaution particulière avec les enfants et les animaux.",Shrubs,"Summer,Autumn","100 cm, 300 cm",pH between 5.5 to 6.5,Full sun,Average,Low,"Argile, Limon, Sable"
Citron caviar (Citrus australasica),"Le Citron caviar est un agrume rare et prisé pour ses petits fruits remplis de perles juteuses. Il préfère une exposition en plein soleil et un sol bien drainé, légèrement acide. Son arrosage doit être régulier mais sans excès d’eau pour éviter le pourrissement des racines. L’entretien comprend une taille légère pour maintenir une forme compacte, ainsi qu’une protection contre le gel en hiver. Une fertilisation adaptée aux agrumes favorise une bonne production de fruits.","Shrubs, Trees",Spring,"100 cm, 300 cm",pH between 5.5 to 6.5,Full sun,Average,Medium,"Argile, Limon, Sable"
Avocatier hass (Persea americana 'Hass'),"L’Avocatier Hass est un arbre fruitier qui prospère en plein soleil et préfère un sol bien drainé et riche en nutriments. Il nécessite un arrosage régulier, surtout en période de croissance, mais sans excès pour éviter le pourrissement des racines. Son entretien comprend une taille légère pour équilibrer sa structure et une fertilisation régulière pour favoriser une bonne fructification. Il est sensible au gel et doit être protégé en hiver dans les régions froides.",Trees,Spring,"3 m, 15 m",pH between 5.5 to 6.5,Full sun,Average to High,Medium,"Argile, Limon, Sable"
Clementinier (Citrus reticulata),"Le Clémentinier est un agrume qui prospère sous une exposition en plein soleil et dans un sol bien drainé. Il nécessite un arrosage modéré mais régulier, surtout en période de croissance et de fructification. Son entretien comprend une taille légère après la récolte pour favoriser la ramification, ainsi qu’une fertilisation adaptée aux agrumes. Il est sensible au gel et doit être protégé en hiver dans les régions aux hivers rigoureux.","Shrubs, Trees",Spring,"100 cm, 500 cm",pH between 5.5 to 6.5,Full sun,Average,Medium,"Argile, Limon, Sable"
Oranger (Citrus × sinensis),"L’Oranger est un agrume qui prospère en plein soleil et nécessite un sol bien drainé. Il demande un arrosage régulier mais modéré, en évitant l'excès d'humidité. Son entretien comprend une taille légère après la récolte pour favoriser une bonne fructification, ainsi qu’une fertilisation adaptée aux agrumes. Il est sensible au gel et doit être protégé ou cultivé en pot dans les régions aux hivers froids.","Shrubs, Trees",Spring,"3 m, 10 m",pH between 5.5 to 6.5,Full sun,Average,Medium,"Argile, Limon, Sable"
Citronnier jaune (Citrus limon),"Le Citronnier jaune est un agrume qui prospère sous une exposition en plein soleil et nécessite un sol bien drainé. Il demande un arrosage régulier mais modéré, en évitant l’excès d’eau qui pourrait entraîner des maladies racinaires. Son entretien comprend une taille légère après la récolte pour stimuler la fructification, ainsi qu’une fertilisation adaptée aux agrumes. Sensible au gel, il doit être protégé en hiver dans les régions froides ou cultivé en pot pour être rentré à l’abri.","Shrubs, Trees","Spring,Summer,Autumn,Winter","3 m, 10 m",pH between 5.5 to 6.5,Full sun,Average,Medium,"Argile, Limon, Sable"
Laurier-rose (Nerium oleander),"Le Laurier-rose est un arbuste méditerranéen apprécié pour sa floraison abondante et prolongée. Il prospère sous une exposition en plein soleil et tolère divers types de sols bien drainés. Il nécessite un arrosage modéré, supportant bien la sécheresse une fois établi. Son entretien est simple : une taille légère après la floraison favorise une croissance équilibrée et une meilleure floraison l’année suivante. Très résistant aux maladies et aux conditions difficiles, il est cependant toxique en cas d’ingestion, ce qui impose une précaution avec les enfants et les animaux.",Shrubs,"Summer,Autumn","100 cm, 300 cm",pH between 5.5 to 6.5,Full sun,Average,Low,"Argile, Limon, Sable"
Chamaedorée (Chamaedorea Elegans),"La Chamaedorée élégante, aussi appelée Palmier nain ou Palmier de salon, est une plante d’intérieur très appréciée pour sa résistance et son aspect tropical. Elle préfère la mi-ombre ou l’ombre, car une exposition directe au soleil peut brûler ses feuilles. Elle nécessite un arrosage modéré, en laissant le sol légèrement sécher entre deux arrosages. Son entretien est facile : il suffit de dépoussiérer ses feuilles de temps en temps et de retirer celles qui sont jaunies. Elle est également connue pour ses propriétés dépolluantes.","Shrubs, Trees","Spring,Summer","100 cm, 300 cm",pH between 5.5 to 6.5,"Partial sun, Shade",Average,Low,"Argile, Limon, Sable"
Main de Bouddha (Citrus medica var. sarcodactylis),"La Main de Bouddha est une variété de cédratier produisant des fruits à la forme unique en doigts. Elle prospère sous une exposition en plein soleil et nécessite un sol bien drainé. Son arrosage doit être modéré mais régulier, en évitant les excès d’eau. Son entretien inclut une taille légère pour favoriser la fructification, ainsi qu’une fertilisation spécifique aux agrumes. Sensible au gel, elle doit être protégée en hiver dans les régions froides ou cultivée en pot pour être rentrée à l’abri.","Shrubs, Trees",Spring,"100 cm, 300 cm",pH between 5.5 to 6.5,Full sun,Average,Medium,"Argile, Limon, Sable"
Achillea (Yarrow),"Achillea, communément appelé achillée, est un genre de plus de 100 espèces de plantes à fleurs de la famille des Asteraceae, originaires d'Europe, d'Asie et d'Amérique du Nord. Ces plantes vivaces aromatiques et rustiques sont largement connues pour leur feuillage plumeux, fougère et gris-vert et leurs grappes de fleurs aplaties aux couleurs variées. Elles sont appréciées comme plantes de bordure, dans les rocailles, les massifs et les bordures.
These aromatic and hardy perennials are widely known for their feathery, ferny and grey-green foliage and flattened flower clusters in variety of colors. They are popular as edging plants and in rock gardens, beds and borders.",Perennials,"Spring, Summer",This plant usually grows between 30 and 90 cm (1 to 3 ft) in height.,"Achillea will grow best in well drained soil, with a pH between 5.5 and 7.0.",Full sun,low,low,Limon
Aconitum (Aconite; Monkshood; Wolfsbane),"Aconitum, également connu sous le nom d'Aconit, est un genre de plus de 300 espèces de plantes à fleurs de la famille des Ranunculaceae, originaires des régions plus fraîches de l'hémisphère nord. Ces plantes vivaces sont des plantes hautes et dressées qui fleurissent en été et en automne. Les fleurs sont voyantes, en forme de capuchon et portées le plus souvent en grappes semblables à des épis. Malgré sa beauté, l'Aconitum est très toxique, il faut donc être prudent !",Perennials,"Autumn, Summer","Aconite is a tall plant that grows from 30 cm (1 ft) to 180 cm (6 ft) high, depending on species.","Aconite will perform best in rich, moist and well drained soil, with a pH level between 5.0 and 6.0.","Full sun, Partial sun",avarage,medium,Limon
Ageratum (Whiteweed; Flossflower),"Ageratum est un genre d'environ 50 espèces de plantes annuelles appartenant à la famille des Asteraceae, originaires d'Amérique centrale, avec quelques espèces trouvées en Amérique du Nord. Ces plantes poussent peu et ont des fleurs attrayantes de couleur bleue, violette, rouge, rose et blanche. Les petites grappes de fleurs duveteuses fleurissent en été et en automne, ce qui en fait un merveilleux complément à tout paysage. Et les papillons en raffolent ! ",Annuals,"Autumn, Summer",These plants can grow up to 60 cm (2 ft) in height.,"Ageratum prefers moist, but well drained soil, with pH between 5.5 and 7.5.","Full sun, Partial sun",avarage,low,Limon
Ajuga (Bugle; Bugleweed),"L'Ajuga est un genre d'environ 70 espèces de la famille des Lamiacées, originaire d'Europe, d'Afrique et d'Asie occidentale. Ce sont principalement des plantes vivaces, mais certaines sont annuelles. Les plantes d'Ajuga ont des feuilles persistantes brillantes et arrondies et des tiges érigées avec des fleurs petites mais attrayantes. Une fois établie, la plante s'étend rapidement, ce qui en fait une plante couvre-sol idéale pour les zones partiellement ou totalement ombragées.","Annuals, Perennials","Spring, Summer",These plants can grow up to 30 cm (1 ft) tall.,"The plant grows best in moist and well drained soil, with a pH between 4.0 to 6.5. However, it can handle drought and dry soils.","Partial sun, Shade",avarage,low,Limon
Alcea (Hollyhock),"Alcea, également connu sous le nom de rose trémière, est un genre d'environ 60 espèces de la famille des Malvaceae, originaire des régions tempérées d'Europe et d'Asie. Les espèces sont annuelles, bisannuelles ou vivaces. Leurs tiges fortes, verticales et dressées s'élèvent vers le ciel comme une lance, portant de grandes fleurs voyantes aux couleurs vives. Les fleurs simples ou doubles en forme de soucoupe sont si impressionnantes qu'il est difficile de croire qu'elles sont réelles. Il n'est donc pas étonnant qu'elles ajoutent du charme et de l'impact à n'importe quel jardin.  ","Annuals, Perennials",Summer,Hollyhocks range in height from 60 cm (2 ft) to 3 metres (10 ft) tall.,"Alcea prefers rich and well drained soil, with a pH between 6.0 and 8.0.",Full sun,avarage,hard,Limon
Amsonia (Blue Star),"L'Amsonia est un genre d'environ 20 espèces de plantes vivaces de la famille des Apocynaceae, principalement originaires d'Amérique du Nord. L'Amsonia a des fleurs en forme d'étoile et de multiples tiges feuillues qui poussent à partir d'un porte-greffe semi-ligneux. Les fleurs sont tubulaires à la base, avec cinq pétales pointus. L'Amsonia peut être utilisée comme plante unique ou dans des plantations de masse. Ces plantes sont très belles dans un jardin de plantes vivaces, en bordure ou dans un jardin de cottage. Elles attirent également les abeilles et les colibris dans votre jardin. Non seulement ces plantes sont faciles à cultiver, mais elles sont également faciles à entretenir.",Perennials,"Spring, Summer","These plants grow up to 120 cm (4 ft) tall, depending on the variety. There are also dwarf varieties that only reach 10 cm (4 inches) in height.","Amsonia prefers rich, moist and well-drained soil. The ideal soil pH is between 6.0 and 7.0.","Full sun, Partial sun",avarage,low,Limon
Anemone (Windflower),"L'anémone est un genre d'environ 120 espèces de plantes à fleurs vivaces de la famille des Ranunculaceae, originaires d'Europe, d'Amérique du Nord et du Japon. La tige florale porte une ou plusieurs belles fleurs, avec un involucre de trois folioles sous chaque fleur, ce qui donne à cette plante un aspect spectaculaire. Qu'elles soient hautes ou basses, ces fleurs embelliront votre jardin !",Perennials,"Spring, Autumn, Summer","Anemone can grow from 10 cm to 1,5 metres (4 inches to 5 ft) tall.","The plant likes moist, but well drained soil. Anemones have a wide pH tolerance, from acid to neutral and alkaline.","Full sun, Partial sun",avarage,low,Limon
Anthurium (Flamingo Flower; Laceleaf),"L'anthurium est un grand genre d'environ 1000 espèces de la famille des Aracées, originaire des régions tropicales des Amériques. Les anthuriums ont de grandes feuilles en forme de lance ou de cœur et des bractées florales en forme de cœur aux couleurs vives. La spathe, que tout le monde appelle fleur, n'est qu'une feuille modifiée. Sa fonction est de protéger les fleurs. Les vraies fleurs sont en fait de nombreuses petites fleurs qui poussent le long du spadice, à partir de la base de la spathe. L'anthurium est populaire parmi les amateurs de fleurs en raison de ses couleurs vives, de son apparence inhabituelle et de la qualité durable de ses fleurs.",Perennials,"Spring, Autumn, Summer",The species can grow up to 90 cm (3 ft) in height.,"Anthurium grows best in rich, well drained soil, with a pH between 5.5 and 6.5.","Full sun, Partial sun",avarage,low,Limon
Antirrhinum (Snapdragon; Dragon Flower),"Antirrhinum, communément appelé muflier ou fleur de dragon, est un genre d'environ 30 espèces de plantes à fleurs de la famille des Plantaginaceae, originaire d'Europe, d'Afrique du Nord et d'Asie occidentale. Les mufliers produisent de magnifiques fleurs en forme de dragon, à deux lèvres, sur de grands épis au-dessus du feuillage. Les fleurs sont souvent parfumées et, dans certaines conditions, dégagent un parfum subtil. Elles attirent les pollinisateurs, notamment les bourdons et les colibris. Les mufliers sont des plantes de jardin populaires ainsi que des fleurs coupées.","Annuals, Perennials","Spring, Autumn, Summer","Snapdragons can grow from 20 cm (8 inches) to 120 cm (4 ft) tall, depending on species.","This plant prefers rich, moist and well drained soil. The optimal soil pH is between 5.5 and 7.0.",Full sun,avarage,low,Limon
Aquilegia (Columbine),"Aquilegia est un genre d'environ 70 espèces de plantes vivaces de la famille des Ranunculaceae, originaire d'Amérique du Nord. Les plantes d'ancolie ont de petites feuilles arrondies et 5 pétales et 5 sépales avec des éperons qui s'étendent à partir de la base. Leurs fleurs délicates et souvent multicolores poussent sur des tiges hautes et minces et attirent les papillons, les abeilles et les colibris.",Perennials,"Spring, Summer",Columbine can grow up to 60 cm (2 ft) tall.,"The plant grows best in moist and well drained soil, with a pH between 6.0 and 7.0. (slightly acidic to neutral). Columbine grows well in just about any type of habitat, from dry deserts to mountains.","Full sun, Partial sun",avarage,low,Limon
Aster (Starwort; Frost flower),"Asclepias, également connu sous le nom d'asclépiade, est un genre d'environ 200 espèces de plantes herbacées vivaces de la famille des Apocynaceae, originaires des Amériques. Les asclépiades produisent des fleurs en forme d'étoile qui apparaissent en grappes sur de hautes tiges ligneuses. Ces plantes vivaces sont connues pour leurs fleurs odorantes et le liquide blanc laiteux contenu dans leur feuillage. Elles attirent les papillons, les abeilles et d'autres insectes.",Perennials,"Autumn, Summer",Asters are 60-180 cm (2-6 ft) tall.,"Asters grow best in moist and well drained soil, with a pH ranging from 5.5 to 7.5.","Full sun, Partial sun",avarage,medium,Limon
Astilbe (False Goat's Beard),"L'Astilbe est un genre d'environ 20 espèces de plantes vivaces de la famille des Saxifragaceae, originaire d'Asie et d'Amérique du Nord. Les fleurs de l'Astilbe ressemblent à des panaches et sont disposées au-dessus d'un feuillage vert ressemblant à une fougère, sur des tiges minces et droites. Les grappes de petites fleurs blanches, roses ou rougeâtres fleurissent du printemps à l'automne, selon la variété. Les astilbes sont d'excellentes plantes nécessitant peu d'entretien et d'excellentes fleurs coupées. Ils attirent également les papillons, les abeilles, les papillons de nuit et les colibris dans votre jardin !",Perennials,"Spring, Autumn, Summer",The plants range in size from 30 cm (1 ft) to 150 cm (5 ft) in height.,"Astilbes thrive best in moist and well drained soil, with a pH level between 6.0 and 8.0.","Partial sun, Shade",avarage,low,Limon
Astrantia (Masterwort),"L'astrantia est un genre d'environ 10 espèces de plantes vivaces herbacées de la famille des Apiacées, originaire d'Europe et d'Asie. Les astrantias produisent des tiges longues et rudes et des grappes compactes de fleurs étoilées à la forme intéressante et magnifique. Chaque fleur est en fait une petite ombelle composée de nombreuses fleurs minuscules, entourées de bractées ressemblant à des pétales. Elles fleurissent au printemps et en été dans des tons blancs, roses, violets et rouges, attirant les papillons et d'autres visiteurs du jardin.",Perennials,"Spring, Summer",Astrantia can grow up to 90 cm (3 ft) in height.,"These plants like fertile and moist, but well-drained soil. Most of them prefer loamy soils that retain moisture, but drain off standing water. However, some species tolerate drier soils and more sun exposure. They do not appear to be fussy about the soil pH.","Full sun, Partial sun",avarage,medium,Limon
Baptisia (False Indigo),"Baptisia est un genre de plus de 20 espèces de plantes vivaces de la famille des Fabaceae, originaires d'Amérique du Nord. Ces plantes vivaces et voyantes possèdent d'impressionnants épis de fleurs ressemblant à des pois qui fleurissent au printemps et en été, attirant les papillons, les colibris et les abeilles. Leur durabilité et leur beauté sont appréciées depuis longtemps par les jardiniers.",Perennials,"Spring, Summer","The species range in size from 30 cm to 1,5 metres (1-5 ft) in height.","Baptisia prefers rich, well drained and slightly acidic soils.",Full sun,avarage,low,Limon
Begonia (Begonia),"Il existe plus de 1500 espèces de bégonias qui appartiennent à la famille des bégoniacées. Elles sont originaires d'Asie, d'Afrique, d'Amérique centrale et d'Amérique du Sud, mais la plupart d'entre elles poussent dans les pays équatoriaux. Les bégonias produisent des fleurs simples ou doubles qui sont voyantes et disponibles en différentes couleurs, avec des pétales délicats et lisses. Ces fleurs sont faciles à cultiver et se plaisent à l'ombre.","Annuals, Bulbs, Perennials","Spring, Autumn, Summer",Begonias can grow from 20 - 60 cm (8 inches to 2 ft).,"Begonias prefer moist, well drained and more acidic soil. They have a low tolerance for drought.","Partial sun, Shade",avarage,low,Limon
Bellis (Daisy),"Bellis est un genre de plantes à fleurs, principalement vivaces, qui appartiennent à la famille des tournesols (Asteraceae) et sont originaires d'Europe et d'Afrique du Nord. Le genre comprend 10 espèces, dont Bellis perennis, la « marguerite commune » ou « marguerite anglaise », souvent considérée comme le symbole emblématique de l'ensemble de l'espèce. Les membres du genre Bellis ont des feuilles basales et des têtes de fleurs solitaires portées par des pédoncules simples. Ils sont excellents pour les massifs, les bordures et les rocailles.",Perennials,"Spring, Autumn, Summer","The species are small, growing up to 20 cm (8 inches) in height.","This plant likes rich, moist and well drained soil. It is not fussy about the soil pH.","Full sun, Partial sun",avarage,low,Limon
Bergenia (Elephants Ears; Winter Glow; Pigsqueak),"Bergenia est un genre d'environ 10 espèces de plantes à fleurs originaires d'Asie centrale. Cette plante à croissance lente appartient à la famille des saxifragacées. Le Bergenia forme des touffes de grandes feuilles et des grappes de petites fleurs en forme de clochettes. Ces plantes sont idéales pour les rocailles, ainsi que pour les bordures.",Perennials,"Spring, Winter, Summer",Members in this genus usually grow between 20 and 60 cm (8 inches to 2 ft) tall.,"Bergenia prefers moist, but well drained soil. It tolerates a wide range of soil conditions.","Full sun, Partial sun",avarage,low,Limon
Borago (Borage),"Borago, également connu sous le nom de Bourrache, est un genre de cinq espèces de la famille des Boraginaceae, originaire de la région méditerranéenne. Ces plantes ont généralement de longues tiges, des feuilles alternes et de jolies fleurs en forme d'étoile ou de cloche. Le nectar des fleurs est extrêmement attractif pour les abeilles, et il faut donc s'attendre à entendre le son doux mais audible des abeilles bourdonnant parmi elles lorsqu'elles sont en fleur. Elles sont idéales pour les plates-bandes, les bordures et les jardins d'herbes aromatiques.","Annuals, Perennials","Spring, Autumn, Summer","They can grow up to 2 metres (6.5 ft) in height, depending on species.","These plants will grow in any type of soil, as long as it is rich and well drained. The ideal soil pH is between 6.0 and 7.0.","Full sun, Partial sun",avarage,low,Limon
Bouvardia (Firecracker bush; Trumpetellia; Hummingbird flower),"Bouvardia est un genre d'environ 50 espèces de plantes à fleurs de la famille des Rubiacées, originaires du Mexique et de l'Amérique tropicale. Ces espèces sont des herbes ou des arbustes à feuilles persistantes, avec de grandes feuilles d'un vert profond et des fleurs simples ou doubles en forme de trompette ou d'étoile, portées par de hautes tiges, parfois ligneuses. Elles attirent les oiseaux et les papillons dans le jardin et s'intègrent à merveille dans un grand nombre de bouquets et d'arrangements.","Herbs, Shrubs","Spring, Autumn, Summer","The species can grow between 60 cm (2 ft) and 1,5 metres (5 ft) tall.","Bouvardia prefers well drained, sandy to clay loam soil.","Full sun, Partial sun",avarage,low,Limon
Brugmansia (Angel's Trumpet),"Brugmansia, également connu sous le nom de trompette des anges, est un genre d'environ 10 espèces de plantes à fleurs de la famille des Solanaceae, originaires des régions tropicales d'Amérique du Sud. Le genre comprend des arbustes et de petits arbres, avec des feuilles alternes et simples et de grandes fleurs pendantes en forme de trompette. Les fleurs parfumées sont de couleurs variées et attirent les papillons de nuit qui les pollinisent. Ces plantes contiennent des substances chimiques appelées alcaloïdes tropiques qui, en quantités suffisantes, peuvent être mortelles. Elles sont belles, mais très toxiques !","Shrubs, Trees","Autumn, Winter, Summer",The species range in size from 90 cm (3 ft) to 8 m (26 ft) tall.,"This plant likes rich, fertile, well-drained and moisture-retentive soil. It also prefers acidic soil, with a pH range of 5.5 to 7.0.","Full sun, Partial sun",avarage,low,Limon
Buddleia (Butterfly Bush),"Le Buddleia (ou Buddleja) est un genre d'environ 140 espèces de la famille des Scrophulariaceae, originaire d'Asie, d'Afrique et des Amériques. La plupart des espèces sont des arbustes à feuilles caduques ou persistantes, mais quelques espèces sont des arbres. Le Buddleia, également connu sous le nom de « Butterfly Bush », produit des épis de fleurs remarquables qui se déclinent en un fin mélange de couleurs. Chaque fleur est petite, tubulaire et contient quatre pétales. Le buddleia est l'une des fleurs les plus belles et les plus faciles à entretenir. Ces beautés sont cultivées pour leurs fleurs parfumées qui attirent de nombreux types de papillons tout au long de la saison de croissance.","Shrubs, Trees","Autumn, Summer","The plant can grow between 30 cm (1 ft) and 5 metres (16 ft) high, depending on species.","Buddleia will grow in almost any soil, but will perform best in moist and well drained soil, with a pH level between 6.0 and 7.0.",Full sun,avarage,low,Limon
Calendula (Marigold),"Le calendula est un genre d'environ 15 espèces de plantes herbacées de la famille des astéracées, originaires d'Asie, d'Europe centrale et de la Méditerranée. Le membre le plus populaire du genre est le Calendula officinalis, également connu sous le nom de Souci. Les calendules sont admirées par les jardiniers pour leurs fleurs joyeuses, semblables à des marguerites, d'un orange ou d'un jaune vif. Les fleurs peuvent être simples ou doubles et sont composées de minuscules fleurons en forme de disque et de rayon. Les feuilles simples sont disposées en alternance le long des tiges cireuses, lisses ou glanduleuses. Les calendulas sont non seulement faciles à cultiver, mais ils offrent également une longue saison de floraison. Une fois que vous les aurez vus fleurir dans votre jardin, vous voudrez les voir encore et encore !","Annuals, Herbs, Perennials","Spring, Autumn, Winter, Summer","The plant may grow from 30 to 60 cm (1-2 ft) in height, depending on the variety and soil conditions.","This plant tolerates a wide range of soil conditions, but does best in rich, well-drained soils. The soil pH should be between 5.5 and 7.0.","Full sun, Partial sun",avarage,low,Limon
Camellia (Camellia),"Le camélia est un genre d'environ 250 espèces d'arbustes et d'arbres à feuilles persistantes de la famille des Theaceae, originaire de l'est de l'Asie. Les fleurs wahy, de forme parfaite, sont disponibles dans une gamme remarquable de tailles, de couleurs et de formes. Il est toujours agréable de voir cette fleur à longue floraison et qui aime l'ombre !","Shrubs, Trees","Spring, Autumn, Winter","Although its a slow grower, Camellia reaches a height of 1-6 metres (3-20 ft).","These plants will perform best in moist and well drained soil, with a ph between 5.5 and 6.5.","Partial sun, Shade",avarage,low,Limon
