Name,Desc,SunNeeds,WaterNeeds,Maintenance,Type de Sol,SunNeeds_Score,WaterNeeds_Score,Maintenance_score,saison,plant_categories,min_height_cm,max_height_cm,min_ph,max_ph
Lys de la paix (Spathiphyllum wallisii),"Le Lys de la paix est une plante d’intérieur populaire qui préfère la mi-ombre ou l’ombre, car une exposition directe au soleil peut brûler ses feuilles. Il nécessite un sol humide mais bien drainé et un arrosage fréquent, surtout en été. Son entretien est facile : il suffit de retirer les feuilles jaunies et les fleurs fanées, et de brumiser les feuilles pour maintenir une bonne humidité. C’est aussi une excellente plante dépolluante.","Mi-ombre, Ombre",Elevée,Faible,"Argile, Limon, Sable",0.5,2.0,0.0,"Printemps, Été",Vivaces,50.0,150.0,5.5,6.5
Laurier Rose (Nerium oleander),"Le Laurier rose est un arbuste méditerranéen très apprécié pour sa floraison abondante et prolongée. Il prospère en plein soleil et s’adapte à divers types de sols bien drainés. Il nécessite un arrosage régulier mais modéré, avec une tolérance à la sécheresse une fois bien établi. Son entretien est simple : une taille légère après la floraison permet de favoriser une croissance harmonieuse et d’intensifier la floraison suivante. Résistant aux maladies et aux conditions difficiles, il est cependant toxique en cas d’ingestion, ce qui impose une précaution particulière avec les enfants et les animaux.",Plein soleil,Moyenne,Faible,"Argile, Limon, Sable",1.0,1.0,0.0,"Automne, Été",Arbustes,100.0,300.0,5.5,6.5
Citron caviar (Citrus australasica),"Le Citron caviar est un agrume rare et prisé pour ses petits fruits remplis de perles juteuses. Il préfère une exposition en plein soleil et un sol bien drainé, légèrement acide. Son arrosage doit être régulier mais sans excès d’eau pour éviter le pourrissement des racines. L’entretien comprend une taille légère pour maintenir une forme compacte, ainsi qu’une protection contre le gel en hiver. Une fertilisation adaptée aux agrumes favorise une bonne production de fruits.",Plein soleil,Moyenne,Moyen,"Argile, Limon, Sable",1.0,1.0,0.5,Printemps,"Arbustes, Arbres",100.0,300.0,5.5,6.5
Avocatier hass (Persea americana 'Hass'),"L’Avocatier Hass est un arbre fruitier qui prospère en plein soleil et préfère un sol bien drainé et riche en nutriments. Il nécessite un arrosage régulier, surtout en période de croissance, mais sans excès pour éviter le pourrissement des racines. Son entretien comprend une taille légère pour équilibrer sa structure et une fertilisation régulière pour favoriser une bonne fructification. Il est sensible au gel et doit être protégé en hiver dans les régions froides.",Plein soleil,"Moyenne, Elevée, Moyenne à élevée",Moyen,"Argile, Limon, Sable",1.0,4.5,0.5,Printemps,Arbres,300.0,1500.0,5.5,6.5
Clementinier (Citrus reticulata),"Le Clémentinier est un agrume qui prospère sous une exposition en plein soleil et dans un sol bien drainé. Il nécessite un arrosage modéré mais régulier, surtout en période de croissance et de fructification. Son entretien comprend une taille légère après la récolte pour favoriser la ramification, ainsi qu’une fertilisation adaptée aux agrumes. Il est sensible au gel et doit être protégé en hiver dans les régions aux hivers rigoureux.",Plein soleil,Moyenne,Moyen,"Argile, Limon, Sable",1.0,1.0,0.5,Printemps,"Arbustes, Arbres",100.0,500.0,5.5,6.5
Oranger (Citrus × sinensis),"L’Oranger est un agrume qui prospère en plein soleil et nécessite un sol bien drainé. Il demande un arrosage régulier mais modéré, en évitant l'excès d'humidité. Son entretien comprend une taille légère après la récolte pour favoriser une bonne fructification, ainsi qu’une fertilisation adaptée aux agrumes. Il est sensible au gel et doit être protégé ou cultivé en pot dans les régions aux hivers froids.",Plein soleil,Moyenne,Moyen,"Argile, Limon, Sable",1.0,1.0,0.5,Printemps,"Arbustes, Arbres",300.0,1000.0,5.5,6.5
Citronnier jaune (Citrus limon),"Le Citronnier jaune est un agrume qui prospère sous une exposition en plein soleil et nécessite un sol bien drainé. Il demande un arrosage régulier mais modéré, en évitant l’excès d’eau qui pourrait entraîner des maladies racinaires. Son entretien comprend une taille légère après la récolte pour stimuler la fructification, ainsi qu’une fertilisation adaptée aux agrumes. Sensible au gel, il doit être protégé en hiver dans les régions froides ou cultivé en pot pour être rentré à l’abri.",Plein soleil,Moyenne,Moyen,"Argile, Limon, Sable",1.0,1.0,0.5,"Printemps, Automne, Été, Hiver","Arbustes, Arbres",300.0,1000.0,5.5,6.5
Laurier-rose (Nerium oleander),"Le Laurier-rose est un arbuste méditerranéen apprécié pour sa floraison abondante et prolongée. Il prospère sous une exposition en plein soleil et tolère divers types de sols bien drainés. Il nécessite un arrosage modéré, supportant bien la sécheresse une fois établi. Son entretien est simple : une taille légère après la floraison favorise une croissance équilibrée et une meilleure floraison l’année suivante. Très résistant aux maladies et aux conditions difficiles, il est cependant toxique en cas d’ingestion, ce qui impose une précaution avec les enfants et les animaux.",Plein soleil,Moyenne,Faible,"Argile, Limon, Sable",1.0,1.0,0.0,"Automne, Été",Arbustes,100.0,300.0,5.5,6.5
Chamaedorée (Chamaedorea Elegans),"La Chamaedorée élégante, aussi appelée Palmier nain ou Palmier de salon, est une plante d’intérieur très appréciée pour sa résistance et son aspect tropical. Elle préfère la mi-ombre ou l’ombre, car une exposition directe au soleil peut brûler ses feuilles. Elle nécessite un arrosage modéré, en laissant le sol légèrement sécher entre deux arrosages. Son entretien est facile : il suffit de dépoussiérer ses feuilles de temps en temps et de retirer celles qui sont jaunies. Elle est également connue pour ses propriétés dépolluantes.","Mi-ombre, Ombre",Moyenne,Faible,"Argile, Limon, Sable",0.5,1.0,0.0,"Printemps, Été","Arbustes, Arbres",100.0,300.0,5.5,6.5
Main de Bouddha (Citrus medica var. sarcodactylis),"La Main de Bouddha est une variété de cédratier produisant des fruits à la forme unique en doigts. Elle prospère sous une exposition en plein soleil et nécessite un sol bien drainé. Son arrosage doit être modéré mais régulier, en évitant les excès d’eau. Son entretien inclut une taille légère pour favoriser la fructification, ainsi qu’une fertilisation spécifique aux agrumes. Sensible au gel, elle doit être protégée en hiver dans les régions froides ou cultivée en pot pour être rentrée à l’abri.",Plein soleil,Moyenne,Moyen,"Argile, Limon, Sable",1.0,1.0,0.5,Printemps,"Arbustes, Arbres",100.0,300.0,5.5,6.5
Achillea (Yarrow),"Achillea, communément appelé achillée, est un genre de plus de 100 espèces de plantes à fleurs de la famille des Asteraceae, originaires d'Europe, d'Asie et d'Amérique du Nord. Ces plantes vivaces aromatiques et rustiques sont largement connues pour leur feuillage plumeux, fougère et gris-vert et leurs grappes de fleurs aplaties aux couleurs variées. Elles sont appréciées comme plantes de bordure, dans les rocailles, les massifs et les bordures.
These aromatic and hardy perennials are widely known for their feathery, ferny and grey-green foliage and flattened flower clusters in variety of colors. They are popular as edging plants and in rock gardens, beds and borders.",Plein soleil,Faible,Faible,Limon,1.0,0.0,0.0,"Printemps, Été",Vivaces,90.0,91.44,5.5,5.5
Aconitum (Aconite; Monkshood; Wolfsbane),"Aconitum, également connu sous le nom d'Aconit, est un genre de plus de 300 espèces de plantes à fleurs de la famille des Ranunculaceae, originaires des régions plus fraîches de l'hémisphère nord. Ces plantes vivaces sont des plantes hautes et dressées qui fleurissent en été et en automne. Les fleurs sont voyantes, en forme de capuchon et portées le plus souvent en grappes semblables à des épis. Malgré sa beauté, l'Aconitum est très toxique, il faut donc être prudent !","Plein soleil, Mi-ombre",Moyenne,Moyen,Limon,1.5,1.0,0.5,"Automne, Été",Vivaces,30.0,182.88,,
Ageratum (Whiteweed; Flossflower),"Ageratum est un genre d'environ 50 espèces de plantes annuelles appartenant à la famille des Asteraceae, originaires d'Amérique centrale, avec quelques espèces trouvées en Amérique du Nord. Ces plantes poussent peu et ont des fleurs attrayantes de couleur bleue, violette, rouge, rose et blanche. Les petites grappes de fleurs duveteuses fleurissent en été et en automne, ce qui en fait un merveilleux complément à tout paysage. Et les papillons en raffolent ! ","Plein soleil, Mi-ombre",Moyenne,Faible,Limon,1.5,1.0,0.0,"Automne, Été",Annuelles,60.0,60.96,5.5,5.5
Ajuga (Bugle; Bugleweed),"L'Ajuga est un genre d'environ 70 espèces de la famille des Lamiacées, originaire d'Europe, d'Afrique et d'Asie occidentale. Ce sont principalement des plantes vivaces, mais certaines sont annuelles. Les plantes d'Ajuga ont des feuilles persistantes brillantes et arrondies et des tiges érigées avec des fleurs petites mais attrayantes. Une fois établie, la plante s'étend rapidement, ce qui en fait une plante couvre-sol idéale pour les zones partiellement ou totalement ombragées.","Mi-ombre, Ombre",Moyenne,Faible,Limon,0.5,1.0,0.0,"Printemps, Été","Annuelles, Vivaces",30.0,30.48,4.0,6.5
Alcea (Hollyhock),"Alcea, également connu sous le nom de rose trémière, est un genre d'environ 60 espèces de la famille des Malvaceae, originaire des régions tempérées d'Europe et d'Asie. Les espèces sont annuelles, bisannuelles ou vivaces. Leurs tiges fortes, verticales et dressées s'élèvent vers le ciel comme une lance, portant de grandes fleurs voyantes aux couleurs vives. Les fleurs simples ou doubles en forme de soucoupe sont si impressionnantes qu'il est difficile de croire qu'elles sont réelles. Il n'est donc pas étonnant qu'elles ajoutent du charme et de l'impact à n'importe quel jardin.  ",Plein soleil,Moyenne,Difficile,Limon,1.0,1.0,1.0,Été,"Annuelles, Vivaces",60.0,304.8,6.0,6.0
Amsonia (Blue Star),"L'Amsonia est un genre d'environ 20 espèces de plantes vivaces de la famille des Apocynaceae, principalement originaires d'Amérique du Nord. L'Amsonia a des fleurs en forme d'étoile et de multiples tiges feuillues qui poussent à partir d'un porte-greffe semi-ligneux. Les fleurs sont tubulaires à la base, avec cinq pétales pointus. L'Amsonia peut être utilisée comme plante unique ou dans des plantations de masse. Ces plantes sont très belles dans un jardin de plantes vivaces, en bordure ou dans un jardin de cottage. Elles attirent également les abeilles et les colibris dans votre jardin. Non seulement ces plantes sont faciles à cultiver, mais elles sont également faciles à entretenir.","Plein soleil, Mi-ombre",Moyenne,Faible,Limon,1.5,1.0,0.0,"Printemps, Été",Vivaces,10.0,121.92,,
Anemone (Windflower),"L'anémone est un genre d'environ 120 espèces de plantes à fleurs vivaces de la famille des Ranunculaceae, originaires d'Europe, d'Amérique du Nord et du Japon. La tige florale porte une ou plusieurs belles fleurs, avec un involucre de trois folioles sous chaque fleur, ce qui donne à cette plante un aspect spectaculaire. Qu'elles soient hautes ou basses, ces fleurs embelliront votre jardin !","Plein soleil, Mi-ombre",Moyenne,Faible,Limon,1.5,1.0,0.0,"Printemps, Automne, Été",Vivaces,10.0,152.4,,
Anthurium (Flamingo Flower; Laceleaf),"L'anthurium est un grand genre d'environ 1000 espèces de la famille des Aracées, originaire des régions tropicales des Amériques. Les anthuriums ont de grandes feuilles en forme de lance ou de cœur et des bractées florales en forme de cœur aux couleurs vives. La spathe, que tout le monde appelle fleur, n'est qu'une feuille modifiée. Sa fonction est de protéger les fleurs. Les vraies fleurs sont en fait de nombreuses petites fleurs qui poussent le long du spadice, à partir de la base de la spathe. L'anthurium est populaire parmi les amateurs de fleurs en raison de ses couleurs vives, de son apparence inhabituelle et de la qualité durable de ses fleurs.","Plein soleil, Mi-ombre",Moyenne,Faible,Limon,1.5,1.0,0.0,"Printemps, Automne, Été",Vivaces,90.0,91.44,5.5,5.5
Antirrhinum (Snapdragon; Dragon Flower),"Antirrhinum, communément appelé muflier ou fleur de dragon, est un genre d'environ 30 espèces de plantes à fleurs de la famille des Plantaginaceae, originaire d'Europe, d'Afrique du Nord et d'Asie occidentale. Les mufliers produisent de magnifiques fleurs en forme de dragon, à deux lèvres, sur de grands épis au-dessus du feuillage. Les fleurs sont souvent parfumées et, dans certaines conditions, dégagent un parfum subtil. Elles attirent les pollinisateurs, notamment les bourdons et les colibris. Les mufliers sont des plantes de jardin populaires ainsi que des fleurs coupées.",Plein soleil,Moyenne,Faible,Limon,1.0,1.0,0.0,"Printemps, Automne, Été","Annuelles, Vivaces",20.0,121.92,,
Aquilegia (Columbine),"Aquilegia est un genre d'environ 70 espèces de plantes vivaces de la famille des Ranunculaceae, originaire d'Amérique du Nord. Les plantes d'ancolie ont de petites feuilles arrondies et 5 pétales et 5 sépales avec des éperons qui s'étendent à partir de la base. Leurs fleurs délicates et souvent multicolores poussent sur des tiges hautes et minces et attirent les papillons, les abeilles et les colibris.","Plein soleil, Mi-ombre",Moyenne,Faible,Limon,1.5,1.0,0.0,"Printemps, Été",Vivaces,60.0,60.96,6.0,6.0
Aster (Starwort; Frost flower),"Asclepias, également connu sous le nom d'asclépiade, est un genre d'environ 200 espèces de plantes herbacées vivaces de la famille des Apocynaceae, originaires des Amériques. Les asclépiades produisent des fleurs en forme d'étoile qui apparaissent en grappes sur de hautes tiges ligneuses. Ces plantes vivaces sont connues pour leurs fleurs odorantes et le liquide blanc laiteux contenu dans leur feuillage. Elles attirent les papillons, les abeilles et d'autres insectes.","Plein soleil, Mi-ombre",Moyenne,Moyen,Limon,1.5,1.0,0.5,"Automne, Été",Vivaces,180.0,182.88,,
Astilbe (False Goat's Beard),"L'Astilbe est un genre d'environ 20 espèces de plantes vivaces de la famille des Saxifragaceae, originaire d'Asie et d'Amérique du Nord. Les fleurs de l'Astilbe ressemblent à des panaches et sont disposées au-dessus d'un feuillage vert ressemblant à une fougère, sur des tiges minces et droites. Les grappes de petites fleurs blanches, roses ou rougeâtres fleurissent du printemps à l'automne, selon la variété. Les astilbes sont d'excellentes plantes nécessitant peu d'entretien et d'excellentes fleurs coupées. Ils attirent également les papillons, les abeilles, les papillons de nuit et les colibris dans votre jardin !","Mi-ombre, Ombre",Moyenne,Faible,Limon,0.5,1.0,0.0,"Printemps, Automne, Été",Vivaces,30.0,152.4,,
Astrantia (Masterwort),"L'astrantia est un genre d'environ 10 espèces de plantes vivaces herbacées de la famille des Apiacées, originaire d'Europe et d'Asie. Les astrantias produisent des tiges longues et rudes et des grappes compactes de fleurs étoilées à la forme intéressante et magnifique. Chaque fleur est en fait une petite ombelle composée de nombreuses fleurs minuscules, entourées de bractées ressemblant à des pétales. Elles fleurissent au printemps et en été dans des tons blancs, roses, violets et rouges, attirant les papillons et d'autres visiteurs du jardin.","Plein soleil, Mi-ombre",Moyenne,Moyen,Limon,1.5,1.0,0.5,"Printemps, Été",Vivaces,90.0,91.44,,
Baptisia (False Indigo),"Baptisia est un genre de plus de 20 espèces de plantes vivaces de la famille des Fabaceae, originaires d'Amérique du Nord. Ces plantes vivaces et voyantes possèdent d'impressionnants épis de fleurs ressemblant à des pois qui fleurissent au printemps et en été, attirant les papillons, les colibris et les abeilles. Leur durabilité et leur beauté sont appréciées depuis longtemps par les jardiniers.",Plein soleil,Moyenne,Faible,Limon,1.0,1.0,0.0,"Printemps, Été",Vivaces,30.0,152.4,,
Begonia (Begonia),"Il existe plus de 1500 espèces de bégonias qui appartiennent à la famille des bégoniacées. Elles sont originaires d'Asie, d'Afrique, d'Amérique centrale et d'Amérique du Sud, mais la plupart d'entre elles poussent dans les pays équatoriaux. Les bégonias produisent des fleurs simples ou doubles qui sont voyantes et disponibles en différentes couleurs, avec des pétales délicats et lisses. Ces fleurs sont faciles à cultiver et se plaisent à l'ombre.","Mi-ombre, Ombre",Moyenne,Faible,Limon,0.5,1.0,0.0,"Printemps, Automne, Été","Annuelles, Vivaces, Bulbes",20.32,60.96,,
Bellis (Daisy),"Bellis est un genre de plantes à fleurs, principalement vivaces, qui appartiennent à la famille des tournesols (Asteraceae) et sont originaires d'Europe et d'Afrique du Nord. Le genre comprend 10 espèces, dont Bellis perennis, la « marguerite commune » ou « marguerite anglaise », souvent considérée comme le symbole emblématique de l'ensemble de l'espèce. Les membres du genre Bellis ont des feuilles basales et des têtes de fleurs solitaires portées par des pédoncules simples. Ils sont excellents pour les massifs, les bordures et les rocailles.","Plein soleil, Mi-ombre",Moyenne,Faible,Limon,1.5,1.0,0.0,"Printemps, Automne, Été",Vivaces,20.0,20.32,,
Bergenia (Elephants Ears; Winter Glow; Pigsqueak),"Bergenia est un genre d'environ 10 espèces de plantes à fleurs originaires d'Asie centrale. Cette plante à croissance lente appartient à la famille des saxifragacées. Le Bergenia forme des touffes de grandes feuilles et des grappes de petites fleurs en forme de clochettes. Ces plantes sont idéales pour les rocailles, ainsi que pour les bordures.","Plein soleil, Mi-ombre",Moyenne,Faible,Limon,1.5,1.0,0.0,"Printemps, Été, Hiver",Vivaces,20.32,60.96,,
Borago (Borage),"Borago, également connu sous le nom de Bourrache, est un genre de cinq espèces de la famille des Boraginaceae, originaire de la région méditerranéenne. Ces plantes ont généralement de longues tiges, des feuilles alternes et de jolies fleurs en forme d'étoile ou de cloche. Le nectar des fleurs est extrêmement attractif pour les abeilles, et il faut donc s'attendre à entendre le son doux mais audible des abeilles bourdonnant parmi elles lorsqu'elles sont en fleur. Elles sont idéales pour les plates-bandes, les bordures et les jardins d'herbes aromatiques.","Plein soleil, Mi-ombre",Moyenne,Faible,Limon,1.5,1.0,0.0,"Printemps, Automne, Été","Annuelles, Vivaces",198.12,200.0,,
Bouvardia (Firecracker bush; Trumpetellia; Hummingbird flower),"Bouvardia est un genre d'environ 50 espèces de plantes à fleurs de la famille des Rubiacées, originaires du Mexique et de l'Amérique tropicale. Ces espèces sont des herbes ou des arbustes à feuilles persistantes, avec de grandes feuilles d'un vert profond et des fleurs simples ou doubles en forme de trompette ou d'étoile, portées par de hautes tiges, parfois ligneuses. Elles attirent les oiseaux et les papillons dans le jardin et s'intègrent à merveille dans un grand nombre de bouquets et d'arrangements.","Plein soleil, Mi-ombre",Moyenne,Faible,Limon,1.5,1.0,0.0,"Printemps, Automne, Été","Arbustes, Herbes",60.0,152.4,,
Brugmansia (Angel's Trumpet),"Brugmansia, également connu sous le nom de trompette des anges, est un genre d'environ 10 espèces de plantes à fleurs de la famille des Solanaceae, originaires des régions tropicales d'Amérique du Sud. Le genre comprend des arbustes et de petits arbres, avec des feuilles alternes et simples et de grandes fleurs pendantes en forme de trompette. Les fleurs parfumées sont de couleurs variées et attirent les papillons de nuit qui les pollinisent. Ces plantes contiennent des substances chimiques appelées alcaloïdes tropiques qui, en quantités suffisantes, peuvent être mortelles. Elles sont belles, mais très toxiques !","Plein soleil, Mi-ombre",Moyenne,Faible,Limon,1.5,1.0,0.0,"Automne, Été, Hiver","Arbustes, Arbres",90.0,800.0,,
Buddleia (Butterfly Bush),"Le Buddleia (ou Buddleja) est un genre d'environ 140 espèces de la famille des Scrophulariaceae, originaire d'Asie, d'Afrique et des Amériques. La plupart des espèces sont des arbustes à feuilles caduques ou persistantes, mais quelques espèces sont des arbres. Le Buddleia, également connu sous le nom de « Butterfly Bush », produit des épis de fleurs remarquables qui se déclinent en un fin mélange de couleurs. Chaque fleur est petite, tubulaire et contient quatre pétales. Le buddleia est l'une des fleurs les plus belles et les plus faciles à entretenir. Ces beautés sont cultivées pour leurs fleurs parfumées qui attirent de nombreux types de papillons tout au long de la saison de croissance.",Plein soleil,Moyenne,Faible,Limon,1.0,1.0,0.0,"Automne, Été","Arbustes, Arbres",30.0,500.0,,
Calendula (Marigold),"Le calendula est un genre d'environ 15 espèces de plantes herbacées de la famille des astéracées, originaires d'Asie, d'Europe centrale et de la Méditerranée. Le membre le plus populaire du genre est le Calendula officinalis, également connu sous le nom de Souci. Les calendules sont admirées par les jardiniers pour leurs fleurs joyeuses, semblables à des marguerites, d'un orange ou d'un jaune vif. Les fleurs peuvent être simples ou doubles et sont composées de minuscules fleurons en forme de disque et de rayon. Les feuilles simples sont disposées en alternance le long des tiges cireuses, lisses ou glanduleuses. Les calendulas sont non seulement faciles à cultiver, mais ils offrent également une longue saison de floraison. Une fois que vous les aurez vus fleurir dans votre jardin, vous voudrez les voir encore et encore !","Plein soleil, Mi-ombre",Moyenne,Faible,Limon,1.5,1.0,0.0,"Printemps, Automne, Été, Hiver","Annuelles, Vivaces, Herbes",60.0,60.96,,
Camellia (Camellia),"Le camélia est un genre d'environ 250 espèces d'arbustes et d'arbres à feuilles persistantes de la famille des Theaceae, originaire de l'est de l'Asie. Les fleurs wahy, de forme parfaite, sont disponibles dans une gamme remarquable de tailles, de couleurs et de formes. Il est toujours agréable de voir cette fleur à longue floraison et qui aime l'ombre !","Mi-ombre, Ombre",Moyenne,Faible,Limon,0.5,1.0,0.0,"Printemps, Automne, Hiver","Arbustes, Arbres",600.0,609.6,5.5,5.5
Campanula (Bellflower),"La Campanule est un genre d'environ 500 espèces d'annuelles, de vivaces et de bisannuelles de la famille des Campanulacées, originaire des régions tempérées de l'hémisphère nord. La Campanule est également connue sous le nom de fleur de cloche en raison de sa forme caractéristique de cloche, et en effet, ces jolies plantes ont des fleurs dont les pétales se chevauchent pour former une forme de cloche profonde. Ces plantes qui aiment le soleil existent dans de nombreuses tailles et variétés, depuis les espèces alpines naines jusqu'aux espèces forestières de grande taille. Nombre d'entre elles sont cultivées comme plantes ornementales de jardin.","Plein soleil, Mi-ombre",Moyenne,Faible,Limon,1.5,1.0,0.0,"Printemps, Automne, Été","Annuelles, Vivaces",10.0,200.0,,
Canna (Canna Lily),"Canna est un genre d'environ 10 espèces de plantes herbacées vivaces de la famille des Cannaceae, originaires des régions tropicales et semi-tropicales d'Amérique du Nord, d'Amérique centrale et d'Amérique du Sud. Les cannas sont souvent appelés « lys de Canna », bien qu'ils n'aient aucun lien avec la famille des liliacées (Liliaceae). Ils produisent de grandes feuilles en forme de banane et des fleurs colorées qui ressemblent à des iris. Ces fleurs exotiques ajoutent de la couleur, de l'intérêt visuel et de la texture au paysage. Elles égayeront instantanément vos plates-bandes et bordures tout au long de l'été.",Plein soleil,Moyenne,Moyen,Limon,1.0,1.0,0.5,"Automne, Été","Vivaces, Bulbes",90.0,304.8,,
Celosia (Celosia),"La célosie est un genre d'environ 50 espèces de la famille des Amaranthaceae, originaire des régions tropicales d'Afrique, d'Asie et d'Amérique du Sud. La célosie a des fleurs frappantes qui attirent l'attention et qui fleurissent en été et jusqu'à l'automne. Ces fleurs sont disponibles dans une grande variété de couleurs, de formes et de tailles, ajoutant de la couleur et du caractère à votre jardin.",Plein soleil,Moyenne,Faible,Limon,1.0,1.0,0.0,"Automne, Été","Annuelles, Vivaces",150.0,152.4,,
