ID;Nom;Taille;SunNeeds;WaterNeeds;Maintenance;Desc
11;Hibiscus Jaune de Chine (Hibiscus rosa-sinensis);M;Full sun, Partial sun;Average;Low;L’Hibiscus Jaune de Chine est un arbuste tropical apprécié pour ses grandes fleurs éclatantes. Il prospère sous une exposition en plein soleil ou à mi-ombre et préfère un sol riche et bien drainé. Il nécessite un arrosage modéré, en maintenant le sol légèrement humide sans excès d’eau. Son entretien est simple : il suffit de supprimer les fleurs fanées, de tailler légèrement après la floraison pour encourager la ramification et d’apporter une fertilisation régulière en période de croissance. Sensible au gel, il doit être protégé en hiver dans les régions froides.
12;Hibiscus Rose de Chine (Hibiscus rosa-sinensis);M;Full sun, Partial sun;Average;Low;L’Hibiscus Rose de Chine est un arbuste tropical ornemental connu pour ses grandes fleurs colorées. Il prospère sous une exposition en plein soleil ou à mi-ombre et préfère un sol riche et bien drainé. Son arrosage doit être régulier, en maintenant le sol légèrement humide, mais sans excès d’eau. Son entretien est simple : il nécessite une taille légère après la floraison pour encourager la ramification et une fertilisation régulière en période de croissance. Sensible au gel, il doit être protégé en hiver ou cultivé en pot dans les régions froides.
13;Hibiscus blanc de Chine (Hibiscus syriacus Totus Albus);M;Full sun, Partial sun;Average;Low;L’Hibiscus syriacus 'Totus Albus', aussi appelé Althéa blanc, est un arbuste caduc qui prospère en plein soleil ou à mi-ombre. Il préfère un sol bien drainé et nécessite un arrosage modéré, avec un peu plus d’eau en période de forte chaleur. Son entretien est simple : une taille légère en fin d’hiver favorise une floraison abondante, et une fertilisation occasionnelle aide à renforcer sa croissance. Plus résistant au froid que l’Hibiscus rosa-sinensis, il peut être planté en extérieur dans des climats tempérés.
14;Phormium;M;Full sun, Partial sun;Low;Low;Le Phormium, aussi appelé lin de Nouvelle-Zélande, est une plante robuste et décorative qui tolère bien la sécheresse une fois établie. Il préfère une exposition en plein soleil ou à mi-ombre et s’adapte à différents types de sols bien drainés. Peu exigeant, son entretien se limite à retirer les feuilles mortes ou abîmées pour conserver son aspect esthétique.
15;Cactus Colonnaires (pachycereus);M;Full sun;Low;Low;Les Pachycereus, ou cactus colonnaires, sont des cactus de grande taille qui aiment le plein soleil et tolèrent des conditions arides. Ils nécessitent un sol bien drainé et un arrosage très limité, surtout en hiver. Leur entretien est minimal, se résumant à éviter les excès d’humidité et à les protéger du gel en cas de températures très basses.
16;Rosier de Chine (Rosa chinensis);M;Full sun, Partial sun;Average;Medium;Le Rosier de Chine est un arbuste à floraison généreuse qui apprécie une exposition en plein soleil ou en mi-ombre. Il nécessite un sol bien drainé et un arrosage régulier, surtout en période de sécheresse. Son entretien comprend la taille des branches mortes ou mal placées pour favoriser la floraison et une surveillance contre les maladies courantes des rosiers (oïdium, taches noires, pucerons).
17;Rosier rose (Rosa);M;Full sun, Partial sun;Average;Medium;Le Rosier rose est un arbuste ornemental apprécié pour sa floraison généreuse et parfumée. Il prospère en plein soleil ou à mi-ombre et préfère un sol riche et bien drainé. Son arrosage doit être régulier mais modéré, en évitant de mouiller le feuillage pour prévenir les maladies fongiques. Son entretien comprend une taille annuelle en fin d'hiver pour stimuler la floraison, ainsi qu’une fertilisation régulière. Une surveillance contre les maladies et parasites (oïdium, taches noires, pucerons) est nécessaire pour assurer une bonne santé à la plante.
18;Oiseau du paradis (Strelitzia reginae);M;Full sun, Partial sun;Average;Low;L’Oiseau du paradis est une plante exotique spectaculaire qui prospère sous une exposition en plein soleil ou à mi-ombre. Il préfère un sol riche, bien drainé et nécessite un arrosage modéré, en laissant le sol sécher légèrement entre deux arrosages. Son entretien est simple : retirer les feuilles mortes et les fleurs fanées, et fertiliser régulièrement en période de croissance pour stimuler la floraison. Il tolère de légères gelées mais doit être protégé ou rentré en intérieur en hiver dans les régions froides.
19;Marguerites du Cap (Dimorphotheca ecklonis);M;Full sun;Low to Average;Low;Les Marguerites du Cap sont des plantes vivaces ou annuelles qui aiment le plein soleil et tolèrent bien la sécheresse une fois établies. Elles préfèrent un sol bien drainé et nécessitent un arrosage modéré. Leur entretien est simple : il suffit de retirer les fleurs fanées pour prolonger la floraison et d’effectuer une légère taille après la floraison pour favoriser une nouvelle pousse.
20;Coussin de belle-mère (Echinocactus grusonii);M;Full sun;Low;Low;L'Echinocactus grusonii, aussi appelé Coussin de belle-mère, est un cactus sphérique très résistant qui préfère une exposition en plein soleil et un sol bien drainé. Il a des besoins en eau très faibles et doit être arrosé avec parcimonie, surtout en hiver. Son entretien est minimal : éviter l'excès d'humidité et le protéger du gel en hiver si cultivé en extérieur dans une région froide.
21;Lierre grimpant (Hedera helix);M;Partial sun, Shade;Average;Low;Le Lierre grimpant est une plante vivace résistante qui pousse aussi bien à l’ombre qu’à la mi-ombre. Il préfère un sol frais et bien drainé et nécessite un arrosage modéré. Très facile à entretenir, il demande peu d’attention, à part une taille occasionnelle pour limiter son expansion, car il peut devenir envahissant s’il n’est pas contrôlé.
22;Aloe vera;M;Full sun, Partial sun;Low;Low;L'Aloe vera est une plante succulente qui préfère une exposition en plein soleil ou en mi-ombre. Elle nécessite un sol bien drainé et un arrosage très modéré, surtout en hiver. Son entretien est minimal : il suffit d’éviter l’excès d’eau et de retirer les feuilles abîmées au besoin. En plus de son aspect décoratif, elle est appréciée pour ses propriétés médicinales.
23;Aloès arborescent (Aloe arborescens);M;Full sun, Partial sun;Low;Low;L'Aloès arborescent est une plante succulente résistante qui prospère en plein soleil ou en mi-ombre. Il nécessite un sol bien drainé et un arrosage modéré, avec des périodes de sécheresse entre les arrosages. Son entretien est simple : il suffit de protéger la plante du gel en hiver et de retirer les feuilles sèches au besoin. En plus d’être décoratif, il est connu pour ses propriétés médicinales, similaires à celles de l'Aloe vera.
24;Dracaena à larges feuilles (Dracaena fragrans);M;Partial sun, Shade;Average;Low;Le Dracaena fragrans est une plante d’intérieur populaire qui tolère des conditions de faible luminosité mais préfère la mi-ombre. Il nécessite un sol bien drainé et un arrosage modéré, en laissant sécher légèrement le substrat entre deux arrosages. Son entretien est facile : il suffit de nettoyer ses feuilles de temps en temps pour enlever la poussière et de tailler les tiges si nécessaire pour contrôler sa croissance.
25;Agave (Agave americana);M;Full sun;Low;Low;L'Agave americana est une plante succulente robuste qui prospère en plein soleil et dans un sol bien drainé. Elle nécessite très peu d’eau et tolère bien la sécheresse. Son entretien est minimal : il suffit d’éviter les excès d’humidité et de retirer les feuilles mortes ou abîmées. Attention à ses feuilles rigides et pointues qui peuvent être piquantes.
26;Citron Ponderosa;M;Full sun;Average;Medium;Le Citron Ponderosa est un agrume hybride qui produit de très gros citrons. Il a besoin d'une exposition en plein soleil et d’un sol bien drainé. Son arrosage doit être régulier mais modéré, en évitant l’excès d’humidité. Son entretien inclut une taille occasionnelle pour maintenir sa forme et une fertilisation adaptée pour encourager la fructification. Il doit être protégé du gel en hiver dans les régions froides.
27;Yucca (Yucca rostrata);M;Full sun, Partial sun;Low;Low;Le Yucca rostrata est une plante ornementale résistante qui prospère sous une exposition en plein soleil ou à mi-ombre. Il préfère un sol bien drainé et nécessite très peu d’arrosage, étant bien adapté aux climats arides. Son entretien est minimal : il suffit d’enlever les feuilles mortes pour maintenir son apparence esthétique. Très rustique, il supporte bien la sécheresse et peut tolérer des températures froides jusqu'à environ -15°C, ce qui le rend idéal pour les jardins secs et les rocailles.
28;Citronnier vert (Citrus aurantifolia);M;Full sun;Average;Medium;Le Citronnier vert, aussi connu sous le nom de lime ou lime acide, prospère en plein soleil et nécessite un sol bien drainé. Son arrosage doit être modéré mais régulier, en évitant les excès d'eau. Il demande une fertilisation périodique pour assurer une bonne production de fruits. L’entretien inclut une taille légère pour stimuler la croissance et une protection contre le gel en hiver si cultivé en extérieur dans une région froide.
29;Kumquats de Nagami (Citrus margarita);M;Full sun;Average;Medium;Le Kumquat de Nagami est un agrume résistant qui prospère en plein soleil et préfère un sol bien drainé. Il nécessite un arrosage régulier, surtout en période de croissance et de fructification, mais il faut éviter l’excès d’eau. Son entretien comprend une taille légère après la récolte pour favoriser une croissance harmonieuse, ainsi qu’une fertilisation adaptée aux agrumes. Il tolère mieux le froid que d’autres agrumes, mais une protection est conseillée en cas de gel sévère.
30;Kumquat (Fortunella margarita);M;Full sun;Average;Medium;Le Kumquat est un agrume compact et décoratif qui prospère en plein soleil et nécessite un sol bien drainé. Il demande un arrosage régulier mais modéré, en évitant l’excès d’eau. Son entretien inclut une taille légère après la fructification pour encourager la ramification et une fertilisation adaptée pour optimiser la production de fruits. Il tolère mieux le froid que d'autres agrumes, mais une protection hivernale est conseillée en cas de gel important.
31;Lys de la paix (Spathiphyllum wallisii);L;Partial sun, Shade;High;Low;Le Lys de la paix est une plante d’intérieur populaire qui préfère la mi-ombre ou l’ombre, car une exposition directe au soleil peut brûler ses feuilles. Il nécessite un sol humide mais bien drainé et un arrosage fréquent, surtout en été. Son entretien est facile : il suffit de retirer les feuilles jaunies et les fleurs fanées, et de brumiser les feuilles pour maintenir une bonne humidité. C’est aussi une excellente plante dépolluante.
32;Laurier Rose (Nerium oleander);L;Full sun;Average;Low;Le Laurier rose est un arbuste méditerranéen très apprécié pour sa floraison abondante et prolongée. Il prospère en plein soleil et s’adapte à divers types de sols bien drainés. Il nécessite un arrosage régulier mais modéré, avec une tolérance à la sécheresse une fois bien établi. Son entretien est simple : une taille légère après la floraison permet de favoriser une croissance harmonieuse et d’intensifier la floraison suivante. Résistant aux maladies et aux conditions difficiles, il est cependant toxique en cas d’ingestion, ce qui impose une précaution particulière avec les enfants et les animaux.
33;Cordyline australe (Cordyline australis);L;Full sun, Partial sun;Average;Low;La Cordyline australe est une plante ornementale résistante qui préfère une exposition en plein soleil ou en mi-ombre. Elle s’adapte bien aux sols bien drainés et nécessite un arrosage modéré, avec un peu plus d’eau en période de croissance. Son entretien est simple : il suffit de retirer les feuilles mortes et, si nécessaire, de tailler la plante pour encourager la ramification. Elle tolère bien la sécheresse et résiste aux conditions côtières.
34;Oiseau du paradis (Strelitzia reginae);L;Full sun, Partial sun;Average;Low;L’Oiseau du paradis est une plante tropicale spectaculaire, prisée pour ses fleurs rappelant un oiseau en vol. Il prospère sous une exposition en plein soleil ou à mi-ombre et préfère un sol riche, bien drainé. Il nécessite un arrosage modéré, en laissant sécher légèrement le sol entre deux arrosages. Son entretien est simple : il faut retirer les feuilles mortes et les fleurs fanées, et fertiliser régulièrement en période de croissance pour stimuler la floraison. Il tolère de légères gelées, mais dans les climats froids, il est recommandé de le protéger ou de le cultiver en pot pour le rentrer en hiver.
35;Citron caviar (Citrus australasica);L;Full sun;Average;Medium;Le Citron caviar est un agrume rare et prisé pour ses petits fruits remplis de perles juteuses. Il préfère une exposition en plein soleil et un sol bien drainé, légèrement acide. Son arrosage doit être régulier mais sans excès d’eau pour éviter le pourrissement des racines. L’entretien comprend une taille légère pour maintenir une forme compacte, ainsi qu’une protection contre le gel en hiver. Une fertilisation adaptée aux agrumes favorise une bonne production de fruits.
36;Avocatier hass (Persea americana 'Hass');L;Full sun;Average to High;Medium;L’Avocatier Hass est un arbre fruitier qui prospère en plein soleil et préfère un sol bien drainé et riche en nutriments. Il nécessite un arrosage régulier, surtout en période de croissance, mais sans excès pour éviter le pourrissement des racines. Son entretien comprend une taille légère pour équilibrer sa structure et une fertilisation régulière pour favoriser une bonne fructification. Il est sensible au gel et doit être protégé en hiver dans les régions froides.
37;Clementinier (Citrus reticulata);L;Full sun;Average;Medium;Le Clémentinier est un agrume qui prospère sous une exposition en plein soleil et dans un sol bien drainé. Il nécessite un arrosage modéré mais régulier, surtout en période de croissance et de fructification. Son entretien comprend une taille légère après la récolte pour favoriser la ramification, ainsi qu’une fertilisation adaptée aux agrumes. Il est sensible au gel et doit être protégé en hiver dans les régions aux hivers rigoureux.
38;Chlorophyte chevelue (Chlorophytum comosum);L;Partial sun, Shade;Average;Low;La Chlorophyte chevelue, aussi appelée plante araignée, est une plante d’intérieur robuste qui tolère la mi-ombre et l’ombre. Elle préfère un sol bien drainé et nécessite un arrosage modéré, en laissant le substrat sécher légèrement entre deux arrosages. Très facile d’entretien, elle demande peu de soins, si ce n’est de retirer les feuilles jaunies et de rempoter tous les quelques années. C’est également une excellente plante dépolluante.
39;Bougainvillier Marie Palmer (Bougainvillea glabra);XL;Full sun;Low;Low;Le Bougainvillier 'Marie Palmer' est une variété de Bougainvillea glabra, connue pour sa floraison abondante et colorée. Il prospère sous une exposition en plein soleil et préfère un sol bien drainé. Très résistant à la sécheresse, il nécessite un arrosage léger une fois établi. Son entretien est minimal : une taille après la floraison permet de favoriser une croissance harmonieuse et une floraison encore plus intense. Sensible au gel, il doit être protégé en hiver dans les régions froides ou cultivé en pot pour être rentré à l'abri.
40;Bougainvillier La Jolla (Mirabilis jalapa);XL;Full sun;Low;Low;Le Bougainvillier 'La Jolla' est une variété compacte de Bougainvillea glabra, idéale pour les petits espaces ou la culture en pot. Il prospère sous une exposition en plein soleil et dans un sol bien drainé. Très résistant à la sécheresse, il nécessite un arrosage léger une fois établi. Son entretien est minimal, consistant principalement à tailler légèrement après la floraison pour maintenir sa forme et stimuler une nouvelle floraison. Il doit être protégé du gel dans les régions aux hivers rigoureux
41;Bananier (Musa);XL;Full sun, Partial sun;High;Medium;Le Bananier est une plante tropicale qui prospère sous une exposition en plein soleil ou en mi-ombre. Il a besoin d'un sol riche, bien drainé et d'un arrosage fréquent, surtout en période de croissance. Son entretien comprend la suppression des feuilles sèches et une fertilisation régulière pour favoriser la croissance et la production de fruits. Dans les régions froides, il nécessite une protection hivernale, car il est sensible au gel.
42;Yucca (Yucca rostrata);XL;Full sun, Partial sun;Low;Low;Le Yucca rostrata est une plante ornementale résistante qui prospère sous une exposition en plein soleil ou à mi-ombre. Il préfère un sol bien drainé et nécessite très peu d’arrosage, étant bien adapté aux climats arides et secs. Son entretien est minimal : il suffit d’enlever les feuilles mortes pour maintenir son apparence esthétique. Très rustique, il supporte bien la sécheresse et peut tolérer des températures froides jusqu'à environ -15°C, ce qui le rend idéal pour les jardins secs, les rocailles et les climats méditerranéens.
43;Oranger (Citrus × sinensis);XL;Full sun;Average;Medium;L’Oranger est un agrume qui prospère en plein soleil et nécessite un sol bien drainé. Il demande un arrosage régulier mais modéré, en évitant l'excès d'humidité. Son entretien comprend une taille légère après la récolte pour favoriser une bonne fructification, ainsi qu’une fertilisation adaptée aux agrumes. Il est sensible au gel et doit être protégé ou cultivé en pot dans les régions aux hivers froids.
44;Citronnier jaune (Citrus limon);XL;Full sun;Average;Medium;Le Citronnier jaune est un agrume qui prospère sous une exposition en plein soleil et nécessite un sol bien drainé. Il demande un arrosage régulier mais modéré, en évitant l’excès d’eau qui pourrait entraîner des maladies racinaires. Son entretien comprend une taille légère après la récolte pour stimuler la fructification, ainsi qu’une fertilisation adaptée aux agrumes. Sensible au gel, il doit être protégé en hiver dans les régions froides ou cultivé en pot pour être rentré à l’abri.
45;Bananier du Japon (Musa basjoo);XL;Full sun, Partial sun;High;Medium;Le Bananier du Japon est une variété rustique de bananier, capable de résister au froid jusqu'à environ -10°C, à condition de protéger son pied en hiver. Il préfère une exposition en plein soleil ou en mi-ombre et nécessite un sol riche et bien drainé avec un arrosage fréquent, surtout en période de croissance. Son entretien comprend une fertilisation régulière, l’élimination des feuilles sèches et, dans les régions froides, une protection hivernale pour assurer sa repousse au printemps.
46;Laurier-rose (Nerium oleander);XL;Full sun;Average;Low;Le Laurier-rose est un arbuste méditerranéen apprécié pour sa floraison abondante et prolongée. Il prospère sous une exposition en plein soleil et tolère divers types de sols bien drainés. Il nécessite un arrosage modéré, supportant bien la sécheresse une fois établi. Son entretien est simple : une taille légère après la floraison favorise une croissance équilibrée et une meilleure floraison l’année suivante. Très résistant aux maladies et aux conditions difficiles, il est cependant toxique en cas d’ingestion, ce qui impose une précaution avec les enfants et les animaux.
47;Photinie (Photinia);XL;Full sun, Partial sun;Average;Low;La Photinie est un arbuste à feuillage persistant, apprécié pour ses jeunes pousses rouges vives qui contrastent avec le feuillage vert mature. Elle prospère en plein soleil ou à mi-ombre et s’adapte à divers types de sols bien drainés. Son arrosage doit être modéré, avec un peu plus d’eau en période de croissance. Son entretien est simple : une taille légère au printemps et en été pour stimuler la coloration du feuillage et maintenir une belle forme. Résistante, elle tolère bien la pollution et les conditions urbaines.
48;Chamaedorée (Chamaedorea Elegans);XL;Partial sun, Shade;Average;Low;La Chamaedorée élégante, aussi appelée Palmier nain ou Palmier de salon, est une plante d’intérieur très appréciée pour sa résistance et son aspect tropical. Elle préfère la mi-ombre ou l’ombre, car une exposition directe au soleil peut brûler ses feuilles. Elle nécessite un arrosage modéré, en laissant le sol légèrement sécher entre deux arrosages. Son entretien est facile : il suffit de dépoussiérer ses feuilles de temps en temps et de retirer celles qui sont jaunies. Elle est également connue pour ses propriétés dépolluantes.
49;Main de Bouddha (Citrus medica var. sarcodactylis);XL;Full sun;Average;Medium;La Main de Bouddha est une variété de cédratier produisant des fruits à la forme unique en doigts. Elle prospère sous une exposition en plein soleil et nécessite un sol bien drainé. Son arrosage doit être modéré mais régulier, en évitant les excès d’eau. Son entretien inclut une taille légère pour favoriser la fructification, ainsi qu’une fertilisation spécifique aux agrumes. Sensible au gel, elle doit être protégée en hiver dans les régions froides ou cultivée en pot pour être rentrée à l’abri.
50;Noline recourbée (Beaucarnea recurvata);XL;Full sun, Partial sun;Low;Low;La Noline recourbée, aussi appelée Pied d'éléphant, est une plante résistante et décorative qui apprécie le plein soleil ou la mi-ombre. Elle nécessite un sol bien drainé et un arrosage très modéré, car son tronc renflé stocke l’eau. Son entretien est minimal : éviter les excès d’eau, retirer les feuilles sèches et, si nécessaire, rempoter tous les quelques années. Elle est idéale en intérieur ou en extérieur dans des climats doux.
51;Kariota (Caryota);XL;Partial sun, Shade;High;Medium;Le Kariota, aussi appelé Palmier queue de poisson, est un palmier tropical caractérisé par ses feuilles uniques en forme de nageoire. Il préfère une exposition à la mi-ombre ou à l’ombre, car un soleil direct peut endommager son feuillage. Il nécessite un sol riche, bien drainé et un arrosage fréquent pour maintenir une bonne humidité. Son entretien comprend la suppression des feuilles sèches et un apport régulier en nutriments. Il est idéal pour les intérieurs lumineux ou les jardins tropicaux protégés.
52;Palmier abricot (Butia capitata);XXL;Full sun;avarage;Low;Le Palmier abricot, aussi appelé Palmier Butia ou Palmier à fruits sucrés, est un palmier rustique qui prospère sous une exposition en plein soleil. Il préfère un sol bien drainé et tolère des périodes de sécheresse une fois bien établi. Son entretien est minimal : un arrosage modéré, une taille occasionnelle des feuilles mortes et une fertilisation légère au printemps. Il est apprécié pour ses fruits comestibles au goût sucré rappelant l’abricot et sa résistance aux températures modérément froides.
53;Eucalyptus (Eucalyptus globulus);XXL;Full sun;Low to Average;Low;L’Eucalyptus globulus, aussi appelé Eucalyptus bleu, est un arbre à croissance rapide qui prospère sous une exposition en plein soleil et s’adapte bien aux sols bien drainés. Il est résistant à la sécheresse une fois établi et demande peu d’arrosage, sauf en période de forte chaleur. Son entretien est minimal : il nécessite une taille occasionnelle pour contrôler sa croissance et limiter la chute des branches. Il est apprécié pour son feuillage aromatique et ses propriétés médicinales.
54;Palmier des Canaries (Phoenix canariensis);XXL;Full sun;Average;Low;Le Palmier des Canaries, aussi appelé Dattier des Canaries, est un palmier ornemental majestueux qui prospère sous une exposition en plein soleil et préfère un sol bien drainé. Il nécessite un arrosage modéré, plus fréquent en période de forte chaleur. Son entretien est simple : il suffit d’éliminer les feuilles sèches et de veiller à ce qu’il ne manque pas de nutriments pour favoriser une croissance vigoureuse. Résistant à la sécheresse et tolérant au froid modéré, il est très apprécié dans les jardins méditerranéens et tropicaux.
55;Laurier (Laurus nobilis);XXL;Full sun, Partial sun;Average;Low;Le Laurier noble, aussi appelé Laurier-sauce, est un arbuste aromatique apprécié pour son feuillage persistant et ses feuilles utilisées en cuisine. Il pousse bien en plein soleil ou à mi-ombre et préfère un sol bien drainé. Son arrosage doit être modéré, en évitant les excès d’eau. Son entretien est facile : une taille occasionnelle permet de maintenir sa forme, et il peut être cultivé en pot ou en pleine terre. Résistant aux maladies et à la sécheresse une fois bien établi, il supporte également les tailles sévères pour en faire une haie.
56;Palmier éventail mexicain (Washingtonia robusta);XXL;Full sun;Low to Average;Low;Le Washingtonia robusta est un palmier à croissance rapide qui prospère sous une exposition en plein soleil et préfère un sol bien drainé. Il tolère bien la sécheresse une fois établi, nécessitant un arrosage modéré. Son entretien est minimal : il suffit d’enlever les feuilles sèches pour conserver une belle apparence. Résistant aux températures fraîches, il est largement utilisé pour orner les avenues et jardins dans les climats chauds.
57;Yucca (Yucca rostrata);XXL;Full sun, Partial sun;Low;Low;Le Yucca rostrata est une plante ornementale résistante qui prospère sous une exposition en plein soleil ou à mi-ombre. Il préfère un sol bien drainé et nécessite très peu d’arrosage, étant bien adapté aux climats arides et secs. Son entretien est minimal : il suffit d’enlever les feuilles mortes pour maintenir son apparence esthétique. Très rustique, il supporte bien la sécheresse et peut tolérer des températures froides jusqu'à environ -15°C, ce qui le rend idéal pour les jardins secs, les rocailles et les climats méditerranéens.
58;Palmier du Chili (Jubaea chilensis);XXL;Full sun;Low to Average;Low;Le Palmier du Chili, aussi appelé Palmier à miel, est un palmier majestueux et très résistant qui prospère sous une exposition en plein soleil et préfère un sol bien drainé. Il supporte bien la sécheresse une fois établi et nécessite peu d’arrosage. Son entretien est minimal : il suffit d’éliminer les feuilles sèches de temps en temps. Il est particulièrement apprécié pour sa longévité et sa résistance au froid, tolérant des températures allant jusqu’à -15°C.
59;Faux-poivrier (Schinus terebinthifolia);XXL;Full sun, Partial sun;Low to Average;Low;Le Faux-poivrier, aussi appelé Poivrier du Brésil, est un arbre ornemental apprécié pour son feuillage persistant et ses baies rouges décoratives. Il prospère sous une exposition en plein soleil ou à mi-ombre et préfère un sol bien drainé. Il est résistant à la sécheresse une fois établi et demande un arrosage modéré. Son entretien est simple : une taille occasionnelle permet de limiter son expansion, car il peut devenir envahissant dans certaines régions. Attention, ses baies ne sont pas comestibles et peuvent être légèrement toxiques.
60;Olivier (Olea europaea var. europaea);XXL;Full sun;Low;Low;L’Olivier est un arbre méditerranéen emblématique qui prospère en plein soleil et préfère un sol bien drainé, même pauvre et sec. Il tolère bien la sécheresse et ne nécessite qu’un arrosage occasionnel une fois bien établi. Son entretien est minimal : une taille légère chaque année favorise la fructification et permet de conserver une belle forme. Très résistant, il supporte des températures fraîches mais doit être protégé du gel intense en hiver. Il est apprécié autant pour son feuillage argenté que pour ses olives.
61;Palmier à jupon (Washingtonia filifera);XXL;Full sun;Low to Average;Low;"Le Washingtonia filifera, aussi appelé Palmier à jupon de Californie, est un palmier robuste qui prospère sous une exposition en plein soleil et préfère un sol bien drainé. Il tolère bien la sécheresse une fois établi, nécessitant un arrosage modéré. Son entretien est minimal : il suffit d’enlever les feuilles sèches qui forment un ""jupon"" autour du tronc si on souhaite un aspect plus propre. Il résiste mieux au froid que son cousin Washingtonia robusta, tolérant des températures jusqu’à -10°C."
62;Yucca géant (Yucca gigantea);XXL;Full sun, Partial sun;Low;Low;Le Yucca gigantea, aussi appelé Yucca elephantipes, est une plante ornementale robuste qui prospère sous une exposition en plein soleil ou à mi-ombre. Il préfère un sol bien drainé et nécessite peu d’arrosage, supportant bien la sécheresse une fois établi. Son entretien est minimal : il suffit d’éliminer les feuilles mortes et, si nécessaire, de tailler le tronc pour contrôler sa hauteur. Contrairement à d’autres yuccas, il n’a pas de feuilles rigides et pointues, ce qui le rend plus adapté aux jardins et aux espaces intérieurs. Il tolère des températures fraîches mais doit être protégé du gel intense.
63;Bougainvillée glabre (Bougainvillea glabra);XXL;Full sun;Low;Low;La Bougainvillée glabre est une plante grimpante spectaculaire qui prospère sous une exposition en plein soleil et préfère un sol bien drainé. Très résistante à la sécheresse, elle nécessite un arrosage modéré une fois établie. Son entretien est simple : une taille régulière après la floraison permet de stimuler une nouvelle floraison et de contrôler sa croissance. Sensible au gel, elle doit être protégée en hiver dans les régions froides ou cultivée en pot pour être rentrée à l’abri. Elle est appréciée pour ses bractées colorées qui persistent longtemps, apportant une touche exotique aux jardins et aux façades.
